site,totabund,density,meandepth,year,period,sweptarea
1,76,0.002070281,804,1978,1977-1989,36710
2,161,0.003519799,808,2001,2000-2002,45741.25391
3,39,0.000980515,809,2001,2000-2002,39775
4,410,0.008039216,848,1979,1977-1989,51000
5,177,0.005933375,853,2002,2000-2002,29831.25195
6,695,0.021800501,960,1980,1977-1989,31880
7,352,0.009190601,977,1981,1977-1989,38300
8,674,0.017616309,982,1979,1977-1989,38260
9,624,0.013991031,985,1982,1977-1989,44600
10,736,0.013992395,986,1980,1977-1989,52600
11,332,0.011129268,1000,2002,2000-2002,29831.25195
12,529,0.013258145,1016,1983,1977-1989,39900
13,355,0.009683579,1017,1979,1977-1989,36660
14,178,0.005310263,1024,1978,1977-1989,33520
15,60,0.001345291,1025,1981,1977-1989,44600
16,276,0.005411765,1027,1980,1977-1989,51000
17,54,0.001559342,1036,1978,1977-1989,34630
18,264,0.006637335,1053,2001,2000-2002,39775
19,103,0.002589566,1065,2001,2000-2002,39775
20,347,0.008381643,1100,1979,1977-1989,41400
21,168,0.004223759,1110,2002,2000-2002,39775
22,205,0.002945137,1144,2001,2000-2002,69606.25781
23,1230,0.030923948,1200,2002,2000-2002,39775
24,100,0.012547051,1205,1981,1977-1989,7970
25,332,0.008346952,1212,2001,2000-2002,39775
26,636,0.020997029,1217,1982,1977-1989,30290
27,665,0.014393939,1257,1980,1977-1989,46200
28,205,0.005137845,1263,1979,1977-1989,39900
29,392,0.008197407,1265,1980,1977-1989,47820
30,141,0.004422836,1272,1981,1977-1989,31880
31,567,0.013695652,1284,1982,1977-1989,41400
32,185,0.004651163,1300,2002,2000-2002,39775
33,402,0.008304069,1312,1980,1977-1989,48410
34,522,0.012608696,1360,1981,1977-1989,41400
35,72,0.001974744,1368,2001,2000-2002,36460.41797
36,212,0.005313283,1379,1981,1977-1989,39900
37,421,0.006771755,1390,1979,1977-1989,62170
38,233,0.00468636,1430,2002,2000-2002,49718.75391
39,249,0.006508102,1440,1982,1977-1989,38260
40,1026,0.020765027,1448,1979,1977-1989,49410
41,185,0.004004329,1452,1982,1977-1989,46200
42,243,0.005639414,1462,2001,2000-2002,43089.58594
43,80,0.001340876,1500,2001,2000-2002,59662.50391
44,488,0.013311511,1506,1979,1977-1989,36660
45,151,0.002530903,1519,2001,2000-2002,59662.50391
46,26,0.000871569,1521,2001,2000-2002,29831.25195
47,1003,0.023303904,1524,1981,1977-1989,43040
48,680,0.015236388,1527,1982,1977-1989,44630
49,225,0.005058453,1533,1978,1977-1989,44480
50,537,0.012090396,1541,2000,2000-2002,44415.41797
51,639,0.016701516,1587,1981,1977-1989,38260
52,168,0.004582651,1600,1979,1977-1989,36660
53,271,0.004542216,1642,2001,2000-2002,59662.50391
54,31,0.00056341,1648,2001,2000-2002,55022.08594
55,315,0.00706278,1650,1980,1977-1989,44600
56,135,0.003383459,1677,1979,1977-1989,39900
57,376,0.008430493,1700,1982,1977-1989,44600
58,669,0.015,1720,1983,1977-1989,44600
59,191,0.004134199,1742,1982,1977-1989,46200
60,303,0.007039963,1789,1979,1977-1989,43040
61,467,0.009156863,1790,1981,1977-1989,51000
62,44,0.000890508,1845,1980,1977-1989,49410
63,387,0.011035073,1867,1981,1977-1989,35070
64,320,0.003716609,1872,1979,1977-1989,86100
65,161,0.00420805,1884,1980,1977-1989,38260
66,173,0.00325188,1900,1979,1977-1989,53200
67,166,0.004105058,1909,2000,2000-2002,40437.91406
68,49,0.001012188,1927,1981,1977-1989,48410
69,534,0.009571608,1932,1979,1977-1989,55790
70,5,9.04E-05,1944,1978,1977-1989,55330
71,105,0.000772639,1946,2001,2000-2002,135897.9219
72,235,0.005269058,1975,1982,1977-1989,44600
73,267,0.008375157,1987,1981,1977-1989,31880
74,117,0.006525376,1993,1981,1977-1989,17930
75,147,0.006148055,2015,1981,1977-1989,23910
76,136,0.002279489,2016,2002,2000-2002,59662.50391
77,107,0.002211067,2058,2000,2000-2002,48392.91797
78,228,0.003488906,2078,1979,1977-1989,65350
79,108,0.001357637,2114,2002,2000-2002,79550
80,469,0.004353476,2122,1980,1977-1989,107730
81,211,0.002941587,2172,1981,1977-1989,71730
82,39,0.000588309,2204,2002,2000-2002,66291.67188
83,301,0.003596177,2230,1982,1977-1989,83700
84,155,0.002487396,2287,2001,2000-2002,62314.17188
85,136,0.002501878,2292,2001,2000-2002,54359.16797
86,341,0.00648289,2397,1981,1977-1989,52600
87,240,0.002549552,2410,2002,2000-2002,94134.17188
88,138,0.002111706,2420,1979,1977-1989,65350
89,90,0.001508485,2434,2001,2000-2002,59662.50391
90,90,0.001508485,2450,2001,2000-2002,59662.50391
91,143,0.003536285,2462,2000,2000-2002,40437.91406
92,291,0.004593528,2477,1982,1977-1989,63350
93,234,0.003191489,2486,1982,1977-1989,73320
94,192,0.003441477,2487,1983,1977-1989,55790
95,269,0.004508694,2500,2002,2000-2002,59662.50391
96,227,0.004280327,2504,2001,2000-2002,53033.33203
97,196,0.003322034,2530,1981,1977-1989,59000
98,71,0.00089252,2572,2002,2000-2002,79550
99,217,0.002617612,2645,1980,1977-1989,82900
100,242,0.002376043,2670,1982,1977-1989,101850
101,121,0.002599356,2737,1979,1977-1989,46550
102,133,0.001702727,2855,1982,1977-1989,78110
103,174,0.000778733,2875,1980,1977-1989,223440
104,155,0.001800232,2970,1980,1977-1989,86100
105,150,0.002631079,3048,2000,2000-2002,57010.83203
106,61,0.000933435,3066,1979,1977-1989,65350
107,187,0.002495996,3089,1983,1977-1989,74920
108,119,0.001994553,3099,2002,2000-2002,59662.50391
109,55,0.000691389,3126,2002,2000-2002,79550
110,71,0.001020023,3138,2001,2000-2002,69606.25781
111,57,0.000574192,3485,1982,1977-1989,99270
112,84,0.000959945,3639,2001,2000-2002,87505.00781
113,5,6.15E-05,3677,1980,1977-1989,81290
114,100,0.001041124,3753,1977,1977-1989,96050
115,25,0.000490196,3810,1981,1977-1989,51000
116,88,0.000935673,3900,1981,1977-1989,94050
117,35,0.000562972,3985,1981,1977-1989,62170
118,62,0.000505133,3995,1983,1977-1989,122740
120,17,0.000221903,4016,1978,1977-1989,76610
121,130,0.001089461,4020,2001,2000-2002,119325.0078
122,27,0.000332144,4056,1979,1977-1989,81290
123,11,0.000106167,4062,1980,1977-1989,103610
124,37,0.000772765,4073,1977,1977-1989,47880
125,35,0.000643146,4118,1978,1977-1989,54420
126,54,0.000452546,4127,2001,2000-2002,119325
127,64,0.000647577,4222,1982,1977-1989,98830
128,26,0.00023071,4226,2002,2000-2002,112695.8359
129,2,1.48E-05,4242,1981,1977-1989,135490
130,56,0.000575954,4245,1982,1977-1989,97230
131,47,0.000508383,4292,1980,1977-1989,92450
132,31,0.00046763,4298,2001,2000-2002,66291.67188
133,4,5.01E-05,4320,1982,1977-1989,79920
134,23,0.000288582,4375,1980,1977-1989,79700
135,12,0.00017508,4510,1979,1977-1989,68540
136,26,0.000250965,4565,1984,1977-1989,103600
137,10,0.000140376,4765,2002,2000-2002,71237.03125
138,35,0.000381388,4787,1979,1977-1989,91770
139,105,0.000998099,4800,1984,1977-1989,105200
140,12,7.78E-05,4810,2002,2000-2002,154323.0313
141,7,6.79E-05,4811,2002,2000-2002,103096.8047
142,4,2.65E-05,4812,2002,2000-2002,150707.4688
143,10,8.62E-05,4812,2002,2000-2002,115983.8984
144,20,0.000155916,4840,2000,2000-2002,128274.3828
145,13,8.16E-05,4842,1986,1977-1989,159400
146,24,0.000264026,4846,1989,1977-1989,90900
147,38,0.000273973,4846,1989,1977-1989,138700
148,29,0.00021658,4865,1989,1977-1989,133900
