cones,ntrees,dbh,height,cover,sntrees,sheight,scover
61,32,0.230000004,20.42000008,91.30000305,1.004007339,0.417349935,0.514496863
4,4,0.270000011,15.19999981,61.5,-1.015101314,-0.864885867,-3.120999575
15,34,0.170000002,15.97000027,91.40000153,1.148229361,-0.675743699,0.526696324
9,22,0.230000004,22.42000008,92,0.282897085,0.908627987,0.599894047
42,22,0.180000007,19.45000076,93.19999695,0.282897085,0.179080248,0.746289492
4,21,0.230000004,23.06999969,93.5,0.210786045,1.068293214,0.78288883
12,19,0.219999999,21.05999947,88.5,0.066564001,0.574558735,0.172906265
27,15,0.25999999,18.81999969,88,-0.221880093,0.024327394,0.111908011
0,12,0.230000004,19.15999985,89.80000305,-0.43821317,0.107844695,0.33150211
4,9,0.119999997,6.380000114,73.30000305,-0.654546261,-3.0314219,-1.681440353
91,5,0.790000021,25.5,94.80000305,-0.942990363,1.66519618,0.94148469
20,12,0.200000003,12.02000046,94.19999695,-0.43821317,-1.64601779,0.868286014
5,15,0.189999998,9.06000042,76.80000305,-0.221880093,-2.373109341,-1.254452586
14,42,0.150000006,8.819999695,77.19999695,1.725117564,-2.432062864,-1.20565474
35,74,0.150000006,17.90999985,91.30000305,4.032670498,-0.199204072,0.514496863
11,23,0.150000006,15.93000031,92.19999695,0.355008096,-0.685569227,0.62429297
47,67,0.140000001,13.78999996,91.80000305,3.527893066,-1.211236835,0.575495124
17,33,0.170000002,14.60000038,88.59999847,1.07611835,-1.012269139,0.185105726
16,12,0.340000004,13.98999977,92.40000153,-0.43821317,-1.162109017,0.648692846
0,7,0.400000006,16.15999985,85.19999695,-0.798768282,-0.629072368,-0.229682595
44,14,0.370000005,20.87999916,92.90000153,-0.293991119,0.530343652,0.709691107
18,23,0.230000004,15.53999996,91.5,0.355008096,-0.781368554,0.538895786
9,13,0.270000011,16.97999954,90.69999695,-0.366102159,-0.427648455,0.441298217
16,7,0.319999993,19.20000076,89,-0.798768282,0.117670484,0.233904526
60,11,0.25999999,20.03000069,93.5,-0.51032418,0.321550846,0.78288883
3,7,0.289999992,15.86999989,91.90000153,-0.798768282,-0.700307667,0.587694585
5,10,0.349999994,20.87000084,90.69999695,-0.582435191,0.527887642,0.441298217
5,11,0.310000002,21.54999924,90.40000153,-0.51032418,0.694921792,0.404699832
2,3,0.419999987,20.37000084,69.90000153,-1.087212443,0.405068159,-2.0962286
32,11,0.330000013,18.27000046,92.59999847,-0.51032418,-0.110773884,0.673091769
55,15,0.319999993,24.5,91.40000153,-0.221880093,1.419557095,0.526696324
3,11,0.340000004,19.12000084,89.19999695,-0.51032418,0.098019384,0.258303463
18,14,0.349999994,22.97999954,87.59999847,-0.293991119,1.046185732,0.063109219
0,13,0.270000011,16.11000061,54.40000153,-0.366102159,-0.641354144,-3.987174511
11,7,0.349999994,22.26000023,93.09999847,-0.798768282,0.869325757,0.73409003
0,22,0.230000004,15.55000019,90.19999695,0.282897085,-0.778912067,0.380299956
6,18,0.330000013,20.97999954,93.59999847,-0.005547023,0.55490762,0.795088291
4,18,0.270000011,19.20999908,93.09999847,-0.005547023,0.120126463,0.73409003
0,9,0.349999994,24.12000084,84.40000153,-0.654546261,1.326214552,-0.32727924
48,11,0.370000005,22.68000031,86.5,-0.51032418,0.972494185,-0.071086757
7,16,0.25999999,21.27000046,91.09999847,-0.149769068,0.626143157,0.490097016
2,11,0.349999994,21.70000076,80.69999695,-0.51032418,0.731768012,-0.778666914
3,12,0.349999994,21.47999954,83.30000305,-0.43821317,0.677727163,-0.461475223
2,8,0.349999994,21.87000084,77.30000305,-0.726657271,0.773526669,-1.193454266
21,9,0.330000013,21.64999962,80,-0.654546261,0.719485819,-0.864064097
22,9,0.319999993,23.31999969,88,-0.654546261,1.129703045,0.111908011
4,12,0.360000014,22.77000046,81.09999847,-0.43821317,0.994601727,-0.729868114
1,28,0.219999999,18.53000069,93.80000305,0.715563238,-0.046907678,0.819488168
3,30,0.189999998,16.19000053,84.80000305,0.859785259,-0.621703029,-0.27848047
25,30,0.180000007,19.46999931,87.19999695,0.859785259,0.183992669,0.014310428
57,36,0.170000002,17.07999992,89.59999847,1.292451382,-0.403084457,0.307102233
12,11,0.25999999,21.36000061,87.80000305,-0.51032418,0.648250759,0.087509081
