Version,Date,Packages,Source
1.3,6/21/01,110,John Fox 
1.4,12/17/01,129,John Fox 
1.5,5/29/02,162,John Fox 
1.6,10/1/02,163,"John Fox, updated"
1.7,5/27/03,219,John Fox 
1.8,11/16/03,273,John Fox 
1.9,6/5/04,357,John Fox 
2,10/12/04,406,John Fox 
2.1,6/18/05,548,John Fox 
2.2,12/16/05,647,John Fox 
2.3,5/31/06,739,John Fox 
2.4,12/12/06,911,John Fox 
2.5,4/12/07,1000,John Fox 
2.6,11/16/07,1300,John Fox 
2.7,3/18/08,1427,John Fox 
2.8,10/18/08,1614,John Fox 
2.9,4/17/09,1952,John Fox 
2.1,10/26/09,2088,John Fox 
2.11,4/22/10,2445,John Fox 
2.12,10/15/10,2837,John Fox 
2.13,4/13/11,3286,John Fox 
2.14,6/20/11,3618,John Fox 
2.14,6/12/12,3786,Spencer Graves
2.15,7/7/12,4000,John Fox 
2.15,11/1/12,4082,Spencer Graves
2.15,12/14/12,4210,Spencer Graves
2.15,10/28/13,4960,Spencer Graves
2.15,11/8/13,5000,Spencer Graves
3.1,4/13/14,5428,Spencer Graves
