year,OCAuthorities,OCActivity,TenYrDeclass,DerivClassActivity
1980,7149,NA,NA,NA
1982,6943,NA,NA,NA
1984,6900,NA,NA,NA
1986,6756,NA,NA,NA
1988,6654,NA,NA,NA
1989,NA,507794,NA,NA
1990,6492,490975,NA,NA
1991,NA,511858,NA,NA
1992,5793,480843,NA,NA
1993,NA,245951,NA,NA
1994,5461,204683,NA,NA
1995,NA,167840,NA,NA
1996,4420,105163,0.5,5685462
1997,NA,158788,0.5,6361366
1998,3903,137005,0.36,7157763
1999,NA,169735,0.5,7858857
2000,4130,220926,0.59,10929943
2001,NA,260678,0.54,8390057
2002,4006,217268,0.57,11054350
2003,NA,234052,0.52,13993968
2004,4007,351150,0.34,15294087
2005,NA,258633,0.64,13948140
2006,4042,231005,0.61,20324450
2007,NA,233630,0.57,22868618
2008,4109,203541,0.58,23217557
2009,NA,183224,0.67,54651765
2010,2378,224734,0.74,76571211
2011,2362,127072,0.7,92064862
2012,2326,73477,0.48,95180243
