sex,age,educyr,farm,urban,hhsize,lntotal,lnmed,lnrlfood,lnexp12m,commune
female,68,4,no,yes,6,10.13649,11.23321,8.639339,11.23321,1
female,57,8,no,yes,6,10.25206,8.50512,9.345752,8.50512,1
male,42,14,no,yes,6,10.93231,8.713418,10.22633,8.713418,1
female,72,9,no,yes,6,10.26749,9.291736,9.263722,9.291736,1
female,73,1,no,yes,8,10.48811,7.555382,9.59289,7.555382,1
female,66,13,no,yes,7,10.5266,9.789702,9.372034,9.789702,1
female,73,2,no,yes,9,10.22996,8.192847,9.276959,8.192847,1
male,46,9,no,yes,4,9.526502,5.783825,8.85197,5.783825,1
male,50,12,no,yes,5,10.49031,7.506592,9.71961,7.506592,1
male,45,12,no,yes,4,10.02007,5.783825,8.938481,5.783825,1
male,75,4,no,yes,6,10.49317,8.117908,9.260901,8.117908,1
male,44,10,no,yes,3,8.461615,6.829794,6.733994,6.829794,1
male,51,12,no,yes,4,9.57844,7.265429,9.035526,7.265429,1
female,48,17,no,yes,4,10.70517,7.575585,9.735068,7.575585,1
male,54,17,no,yes,4,10.18804,7.455298,9.643557,7.455298,1
male,43,16,no,yes,3,10.73915,4.867535,9.870209,4.867535,1
female,41,13,no,yes,4,9.670019,6.516193,9.076807,6.516193,1
female,70,2,no,yes,2,10.05101,6.388561,9.069571,6.388561,1
male,67,9,no,yes,2,9.150693,6.371612,8.447347,6.371612,1
male,62,9,no,yes,7,10.01967,6.326149,9.164073,6.326149,1
male,74,4,no,yes,5,9.767264,8.285261,8.716787,8.285261,1
male,70,10,no,yes,2,9.937281,4.762174,9.395452,4.762174,1
male,61,9,no,yes,6,9.800908,5.609472,8.90827,5.609472,1
male,75,5,no,yes,3,8.925098,7.17012,8.227591,7.17012,1
female,81,1,no,yes,2,9.612206,6.856462,9.028255,6.856462,1
male,53,12,no,yes,9,9.863017,6.659294,9.310678,6.659294,1
male,60,2,no,yes,3,8.513926,5.273,8.067076,5.273,1
male,74,7,no,yes,5,9.416304,6.553934,8.631927,6.553934,1
male,42,13,no,yes,8,10.28061,7.585281,9.148687,7.585281,1
female,70,0,no,yes,5,10.05103,7.82764,9.147572,7.82764,1
female,51,9,no,yes,5,11.01956,7.393263,10.2355,7.393263,2
male,73,3,no,yes,2,8.961785,7.811974,8.436733,7.811974,2
female,62,3,no,yes,5,10.0005,5.273,9.195153,5.273,2
female,58,5,no,yes,4,10.1788,9.010669,9.529779,9.010669,2
male,56,21,no,yes,5,10.60515,0,9.635816,NA,2
female,53,9,no,yes,6,9.876953,6.55108,9.315619,6.55108,2
female,65,0,no,yes,1,8.760125,7.064759,8.274182,7.064759,2
female,32,15,no,yes,4,10.37393,0,9.699347,NA,2
male,52,11,no,yes,4,10.03274,7.352441,9.260711,7.352441,2
male,50,9,no,yes,5,10.12884,6.253829,9.354358,6.253829,2
male,71,14,no,yes,4,10.11145,9.404838,9.193837,9.404838,2
male,87,0,no,yes,5,9.785716,7.007601,8.838472,7.007601,2
male,44,15,no,yes,4,10.20301,4.174387,9.338328,4.174387,2
male,47,14,no,yes,5,10.60715,5.988961,9.736891,5.988961,2
male,27,9,no,yes,3,10.55016,7.299798,9.573745,7.299798,2
male,38,10,no,yes,4,10.20391,8.104704,9.256966,8.104704,2
male,34,13,no,yes,4,9.863342,5.700444,8.97231,5.700444,2
female,70,5,no,yes,3,9.49134,6.476973,8.977983,6.476973,2
male,55,9,no,yes,4,10.20169,8.828347,9.202645,8.828347,2
male,73,2,no,yes,3,9.880062,10.04932,9.053156,10.04932,2
male,39,6,no,yes,3,9.487888,7.729735,8.605847,7.729735,2
female,45,12,no,yes,4,9.562902,6.476973,8.603507,6.476973,2
male,48,10,no,yes,7,10.72292,6.476973,9.830186,6.476973,2
female,45,12,no,yes,5,11.13499,9.122602,9.949111,9.122602,2
female,48,17,no,yes,4,11.38943,6.813445,10.26351,6.813445,2
male,43,9,no,yes,3,10.44102,7.52564,9.383618,7.52564,2
female,39,15,no,yes,4,10.3635,4.553877,9.412437,4.553877,2
female,74,0,no,yes,2,9.965158,7.958577,8.940217,7.958577,2
male,58,15,no,yes,4,10.4508,8.379998,9.237067,8.379998,2
female,50,14,no,yes,8,10.76446,9.138844,9.948148,9.138844,2
female,54,14,no,yes,5,10.10036,8.202482,8.952785,8.202482,3
male,85,5,no,yes,3,9.77941,4.867535,8.604186,4.867535,3
female,64,15,no,yes,7,10.68605,7.17549,9.572923,7.17549,3
female,53,9,no,yes,4,9.82363,8.285261,8.764778,8.285261,3
male,63,9,no,yes,4,10.23103,6.120297,9.119338,6.120297,3
male,35,12,no,yes,4,10.16296,7.474205,9.098369,7.474205,3
female,51,18,no,yes,4,10.88696,9.563459,9.687498,9.563459,3
female,49,17,no,yes,5,10.96925,0,10.38734,NA,3
male,45,22,no,yes,3,10.58621,0,9.605066,NA,3
male,73,5,no,yes,2,9.288619,7.41698,8.518538,7.41698,3
female,64,9,no,yes,3,9.902513,6.806829,8.73595,6.806829,3
male,63,9,no,yes,5,9.620719,5.703783,8.885855,5.703783,3
male,56,20,no,yes,3,10.07463,0,9.264253,NA,3
female,55,16,no,yes,2,10.02566,3.663562,8.794945,3.663562,3
male,37,16,no,yes,4,10.26736,0,9.187563,NA,3
male,76,17,no,yes,2,9.670933,8.556414,8.782479,8.556414,3
male,60,16,no,yes,7,11.14029,5.860786,9.971867,5.860786,3
male,54,17,no,yes,7,11.23364,7.958577,10.29903,7.958577,3
male,71,14,no,yes,2,9.270723,8.285261,8.29991,8.285261,3
male,66,17,no,yes,3,9.880104,0,8.991527,NA,3
female,58,9,yes,yes,1,9.424463,0,8.344235,NA,3
female,40,16,no,yes,2,9.555875,5.820083,8.822638,5.820083,3
female,59,5,no,yes,2,9.493704,6.507277,8.414134,6.507277,3
male,47,16,no,yes,4,9.520084,4.60517,8.651464,4.60517,3
male,62,12,no,yes,3,10.01625,4.644391,9.263073,4.644391,3
male,40,15,no,yes,4,10.39613,12.36325,9.139405,12.36325,3
male,48,15,no,yes,3,10.52127,6.84588,9.568558,6.84588,3
male,38,9,no,yes,4,9.882026,0.6931472,9.034533,0.6931472,3
male,71,16,no,yes,4,10.79859,9.11603,9.854361,9.11603,3
female,74,1,no,yes,1,8.174432,0,7.480504,NA,3
male,64,17,no,yes,5,10.68692,3.401197,9.686588,3.401197,3
male,59,9,no,yes,5,9.966217,0,8.753909,NA,3
male,38,12,no,yes,2,9.900513,8.192571,9.03011,8.192571,4
female,25,12,no,yes,5,11.17789,4.70953,10.26267,4.70953,4
male,70,7,no,yes,3,9.377967,4.762174,8.407068,4.762174,4
male,60,9,no,yes,4,10.12746,0,9.762164,NA,4
female,38,11,no,yes,4,10.41964,7.21891,9.45487,7.21891,4
female,34,12,no,yes,4,9.906592,0,8.612347,NA,4
male,42,15,no,yes,4,10.17319,6.018593,8.980488,6.018593,4
male,49,15,no,yes,4,10.19065,5.700444,9.050389,5.700444,4
female,64,9,no,yes,5,10.23852,7.352441,9.019752,7.352441,4
male,71,14,no,yes,2,9.191465,4.867535,8.651933,4.867535,4
male,43,13,no,yes,4,10.95495,8.086411,9.658933,8.086411,4
male,45,16,no,yes,4,10.46113,6.572282,9.244485,6.572282,4
male,46,8,no,yes,4,9.096476,7.21891,8.514739,7.21891,4
male,72,16,no,yes,2,9.592575,8.045588,8.76192,8.045588,4
male,42,17,no,yes,4,9.655531,8.556414,8.618358,8.556414,4
male,56,14,no,yes,5,10.05827,5.337538,9.011553,5.337538,4
male,52,9,no,yes,4,10.11488,7.575585,8.919355,7.575585,4
male,54,12,yes,yes,7,10.53356,9.569622,8.628929,9.569622,4
male,42,9,no,yes,4,10.85748,8.294049,9.698468,8.294049,4
