Year,Wheat,Wages
1565,41,5
1570,45,5.05
1575,42,5.08
1580,49,5.12
1585,41.5,5.15
1590,47,5.25
1595,64,5.54
1600,27,5.61
1605,33,5.69
1610,32,5.78
1615,33,5.94
1620,35,6.01
1625,33,6.12
1630,45,6.22
1635,33,6.3
1640,39,6.37
1645,53,6.45
1650,42,6.5
1655,40.5,6.6
1660,46.5,6.75
1665,32,6.8
1670,37,6.9
1675,43,7
1680,35,7.3
1685,27,7.6
1690,40,8
1695,50,8.5
1700,30,9
1705,32,10
1710,44,11
1715,33,11.75
1720,29,12.5
1725,39,13
1730,26,13.3
1735,32,13.6
1740,27,14
1745,27.5,14.5
1750,31,15
1755,35.5,15.7
1760,31,16.5
1765,43,17.6
1770,47,18.5
1775,44,19.5
1780,46,21
1785,42,23
1790,47.5,25.5
1795,76,27.5
1800,79,28.5
1805,81,29.5
1810,99,30
1815,78,NA
1820,54,NA
1821,54,NA
