country,year,unemp,leftseat
AUSTRALIA,1967,1.879999995,0.333000004
AUSTRALIA,1968,1.850000024,0.333000004
AUSTRALIA,1969,1.799999952,0.472000003
AUSTRALIA,1970,1.629999995,0.472000003
AUSTRALIA,1971,1.929999948,0.472000003
AUSTRALIA,1972,2.630000114,0.536000013
AUSTRALIA,1973,2.329999924,0.536000013
AUSTRALIA,1974,2.700000048,0.519999981
AUSTRALIA,1975,4.929999828,0.282999992
AUSTRALIA,1976,4.75,0.282999992
AUSTRALIA,1977,5.650000095,0.305999994
AUSTRALIA,1978,6.429999828,0.305999994
AUSTRALIA,1979,6.269999981,0.305999994
AUSTRALIA,1980,6.099999905,0.407999992
AUSTRALIA,1981,5.78000021,0.407999992
AUSTRALIA,1982,7.159999847,0.407999992
AUSTRALIA,1983,9.960000038,0.600000024
AUSTRALIA,1984,8.979999542,0.55400002
AUSTRALIA,1985,8.279999733,0.55400002
AUSTRALIA,1986,8.079999924,0.55400002
AUSTRALIA,1987,8.109999657,0.58099997
AUSTRALIA,1988,7.239999771,0.58099997
AUSTRALIA,1989,6.179999828,0.58099997
AUSTRALIA,1990,6.929999828,0.52700001
AUSTRALIA,1991,9.600000381,0.52700001
AUSTRALIA,1992,10.78999996,0.52700001
AUSTRALIA,1993,10.89000034,0.54400003
AUSTRALIA,1994,9.739999771,0.54400003
AUSTRALIA,1995,8.520000458,0.54400003
AUSTRALIA,1996,8.529999733,0.331
AUSTRALIA,1997,8.550000191,0.331
AUSTRALIA,1998,7.989999771,0.331
AUSTRIA,1960,3.480000019,0.460999995
AUSTRIA,1961,2.670000076,0.460999995
AUSTRIA,1962,2.690000057,0.460999995
AUSTRIA,1963,2.930000067,0.460999995
AUSTRIA,1964,2.680000067,0.460999995
AUSTRIA,1965,2.680000067,0.460999995
AUSTRIA,1966,2.519999981,0.448000014
AUSTRIA,1967,2.670000076,0.448000014
AUSTRIA,1968,2.950000048,0.448000014
AUSTRIA,1969,2.789999962,0.448000014
AUSTRIA,1970,2.390000105,0.490999997
AUSTRIA,1971,2.109999895,0.508000016
AUSTRIA,1972,1.929999948,0.508000016
AUSTRIA,1973,1.570000052,0.508000016
AUSTRIA,1974,1.529999971,0.508000016
AUSTRIA,1975,2.049999952,0.508000016
AUSTRIA,1976,2.029999971,0.508000016
AUSTRIA,1977,1.830000043,0.508000016
AUSTRIA,1978,2.079999924,0.508000016
AUSTRIA,1979,2,0.518999994
AUSTRIA,1980,1.870000005,0.518999994
AUSTRIA,1981,2.410000086,0.518999994
AUSTRIA,1982,3.660000086,0.518999994
AUSTRIA,1983,4.449999809,0.492000014
AUSTRIA,1984,4.539999962,0.492000014
AUSTRIA,1985,4.820000172,0.492000014
AUSTRIA,1986,5.179999828,0.437000006
AUSTRIA,1987,5.579999924,0.437000006
AUSTRIA,1988,5.369999886,0.437000006
AUSTRIA,1989,4.960000038,0.437000006
AUSTRIA,1990,5.369999886,0.437000006
AUSTRIA,1991,5.820000172,0.437000006
AUSTRIA,1992,5.949999809,0.437000006
AUSTRIA,1993,6.78000021,0.437000006
AUSTRIA,1994,6.539999962,0.425999999
AUSTRIA,1995,6.579999924,0.437000006
AUSTRIA,1996,7.03000021,0.437000006
AUSTRIA,1997,7.090000153,0.437000006
AUSTRIA,1998,7.170000076,0.437000006
CANADA,1960,6.989999771,0.215000004
CANADA,1961,7.179999828,0.215000004
CANADA,1962,5.960000038,0.449000001
CANADA,1963,5.579999924,0.552999973
CANADA,1964,4.710000038,0.552999973
CANADA,1965,3.950000048,0.573000014
CANADA,1966,3.369999886,0.573000014
CANADA,1967,3.829999924,0.573000014
CANADA,1968,4.519999981,0.670000017
CANADA,1969,4.420000076,0.670000017
CANADA,1970,5.670000076,0.670000017
CANADA,1971,6.199999809,0.670000017
CANADA,1972,6.230000019,0.529999971
CANADA,1973,5.570000172,0.529999971
CANADA,1974,5.329999924,0.595000029
CANADA,1975,6.920000076,0.595000029
CANADA,1976,7.190000057,0.595000029
CANADA,1977,8.130000114,0.595000029
CANADA,1978,8.399999619,0.595000029
CANADA,1979,7.510000229,0.51700002
CANADA,1980,7.53000021,0.634000003
CANADA,1981,7.590000153,0.634000003
CANADA,1982,10.98999977,0.634000003
CANADA,1983,11.96000004,0.634000003
CANADA,1984,11.31000042,0.247999996
CANADA,1985,10.52999973,0.247999996
CANADA,1986,9.579999924,0.247999996
CANADA,1987,8.869999886,0.247999996
CANADA,1988,7.789999962,0.426999986
CANADA,1989,7.53000021,0.426999986
CANADA,1990,8.119999886,0.426999986
CANADA,1991,10.36999989,0.426999986
CANADA,1992,11.32999992,0.426999986
CANADA,1993,11.25,0.630999982
CANADA,1994,10.40999985,0.630999982
CANADA,1995,9.550000191,0.630999982
CANADA,1996,9.710000038,0.630999982
CANADA,1997,9.220000267,0.630999982
CANADA,1998,8.340000153,0.630999982
FINLAND,1960,1.460000038,0.855000019
FINLAND,1961,1.179999948,0.855000019
FINLAND,1962,1.279999971,0.839999974
FINLAND,1963,1.49000001,0.839999974
FINLAND,1964,1.519999981,0.839999974
FINLAND,1965,1.360000014,0.839999974
FINLAND,1966,1.50999999,0.870000005
FINLAND,1967,2.940000057,0.870000005
FINLAND,1968,3.930000067,0.870000005
FINLAND,1969,2.869999886,0.870000005
FINLAND,1970,1.889999986,0.814999998
FINLAND,1971,2.24000001,0.814999998
