time,AirPassengers
1949,112
1949.083333,118
1949.166667,132
1949.25,129
1949.333333,121
1949.416667,135
1949.5,148
1949.583333,148
1949.666667,136
1949.75,119
1949.833333,104
1949.916667,118
1950,115
1950.083333,126
1950.166667,141
1950.25,135
1950.333333,125
1950.416667,149
1950.5,170
1950.583333,170
1950.666667,158
1950.75,133
1950.833333,114
1950.916667,140
1951,145
1951.083333,150
1951.166667,178
1951.25,163
1951.333333,172
1951.416667,178
1951.5,199
1951.583333,199
1951.666667,184
1951.75,162
1951.833333,146
1951.916667,166
1952,171
1952.083333,180
1952.166667,193
1952.25,181
1952.333333,183
1952.416667,218
1952.5,230
1952.583333,242
1952.666667,209
1952.75,191
1952.833333,172
1952.916667,194
1953,196
1953.083333,196
1953.166667,236
1953.25,235
1953.333333,229
1953.416667,243
1953.5,264
1953.583333,272
1953.666667,237
1953.75,211
1953.833333,180
1953.916667,201
1954,204
1954.083333,188
1954.166667,235
1954.25,227
1954.333333,234
1954.416667,264
1954.5,302
1954.583333,293
1954.666667,259
1954.75,229
1954.833333,203
1954.916667,229
1955,242
1955.083333,233
1955.166667,267
1955.25,269
1955.333333,270
1955.416667,315
1955.5,364
1955.583333,347
1955.666667,312
1955.75,274
1955.833333,237
1955.916667,278
1956,284
1956.083333,277
1956.166667,317
1956.25,313
1956.333333,318
1956.416667,374
1956.5,413
1956.583333,405
1956.666667,355
1956.75,306
1956.833333,271
1956.916667,306
1957,315
1957.083333,301
1957.166667,356
1957.25,348
1957.333333,355
1957.416667,422
1957.5,465
1957.583333,467
1957.666667,404
1957.75,347
1957.833333,305
1957.916667,336
1958,340
1958.083333,318
1958.166667,362
1958.25,348
1958.333333,363
1958.416667,435
1958.5,491
1958.583333,505
1958.666667,404
1958.75,359
1958.833333,310
1958.916667,337
1959,360
1959.083333,342
1959.166667,406
1959.25,396
1959.333333,420
1959.416667,472
1959.5,548
1959.583333,559
1959.666667,463
1959.75,407
1959.833333,362
1959.916667,405
1960,417
1960.083333,391
1960.166667,419
1960.25,461
1960.333333,472
1960.416667,535
1960.5,622
1960.583333,606
1960.666667,508
1960.75,461
1960.833333,390
1960.916667,432
