time,LakeHuron
1875,580.38
1876,581.86
1877,580.97
1878,580.8
1879,579.79
1880,580.39
1881,580.42
1882,580.82
1883,581.4
1884,581.32
1885,581.44
1886,581.68
1887,581.17
1888,580.53
1889,580.01
1890,579.91
1891,579.14
1892,579.16
1893,579.55
1894,579.67
1895,578.44
1896,578.24
1897,579.1
1898,579.09
1899,579.35
1900,578.82
1901,579.32
1902,579.01
1903,579
1904,579.8
1905,579.83
1906,579.72
1907,579.89
1908,580.01
1909,579.37
1910,578.69
1911,578.19
1912,578.67
1913,579.55
1914,578.92
1915,578.09
1916,579.37
1917,580.13
1918,580.14
1919,579.51
1920,579.24
1921,578.66
1922,578.86
1923,578.05
1924,577.79
1925,576.75
1926,576.75
1927,577.82
1928,578.64
1929,580.58
1930,579.48
1931,577.38
1932,576.9
1933,576.94
1934,576.24
1935,576.84
1936,576.85
1937,576.9
1938,577.79
1939,578.18
1940,577.51
1941,577.23
1942,578.42
1943,579.61
1944,579.05
1945,579.26
1946,579.22
1947,579.38
1948,579.1
1949,577.95
1950,578.12
1951,579.75
1952,580.85
1953,580.41
1954,579.96
1955,579.61
1956,578.76
1957,578.18
1958,577.21
1959,577.13
1960,579.1
1961,578.25
1962,577.91
1963,576.89
1964,575.96
1965,576.8
1966,577.68
1967,578.38
1968,578.52
1969,579.74
1970,579.31
1971,579.89
1972,579.96
