time,USAccDeaths
1973,9007
1973.083333,8106
1973.166667,8928
1973.25,9137
1973.333333,10017
1973.416667,10826
1973.5,11317
1973.583333,10744
1973.666667,9713
1973.75,9938
1973.833333,9161
1973.916667,8927
1974,7750
1974.083333,6981
1974.166667,8038
1974.25,8422
1974.333333,8714
1974.416667,9512
1974.5,10120
1974.583333,9823
1974.666667,8743
1974.75,9129
1974.833333,8710
1974.916667,8680
1975,8162
1975.083333,7306
1975.166667,8124
1975.25,7870
1975.333333,9387
1975.416667,9556
1975.5,10093
1975.583333,9620
1975.666667,8285
1975.75,8466
1975.833333,8160
1975.916667,8034
1976,7717
1976.083333,7461
1976.166667,7767
1976.25,7925
1976.333333,8623
1976.416667,8945
1976.5,10078
1976.583333,9179
1976.666667,8037
1976.75,8488
1976.833333,7874
1976.916667,8647
1977,7792
1977.083333,6957
1977.166667,7726
1977.25,8106
1977.333333,8890
1977.416667,9299
1977.5,10625
1977.583333,9302
1977.666667,8314
1977.75,8850
1977.833333,8265
1977.916667,8796
1978,7836
1978.083333,6892
1978.166667,7791
1978.25,8192
1978.333333,9115
1978.416667,9434
1978.5,10484
1978.583333,9827
1978.666667,9110
1978.75,9070
1978.833333,8633
1978.916667,9240
