time,discoveries
1860,5
1861,3
1862,0
1863,2
1864,0
1865,3
1866,2
1867,3
1868,6
1869,1
1870,2
1871,1
1872,2
1873,1
1874,3
1875,3
1876,3
1877,5
1878,2
1879,4
1880,4
1881,0
1882,2
1883,3
1884,7
1885,12
1886,3
1887,10
1888,9
1889,2
1890,3
1891,7
1892,7
1893,2
1894,3
1895,3
1896,6
1897,2
1898,4
1899,3
1900,5
1901,2
1902,2
1903,4
1904,0
1905,4
1906,2
1907,5
1908,2
1909,3
1910,3
1911,6
1912,5
1913,8
1914,3
1915,6
1916,6
1917,0
1918,5
1919,2
1920,2
1921,2
1922,6
1923,3
1924,4
1925,4
1926,2
1927,2
1928,4
1929,7
1930,5
1931,3
1932,3
1933,0
1934,2
1935,2
1936,2
1937,1
1938,3
1939,4
1940,2
1941,2
1942,1
1943,1
1944,1
1945,2
1946,1
1947,4
1948,4
1949,3
1950,2
1951,1
1952,4
1953,1
1954,1
1955,1
1956,0
1957,0
1958,2
1959,0
