time,nhtemp
1912,49.9
1913,52.3
1914,49.4
1915,51.1
1916,49.4
1917,47.9
1918,49.8
1919,50.9
1920,49.3
1921,51.9
1922,50.8
1923,49.6
1924,49.3
1925,50.6
1926,48.4
1927,50.7
1928,50.9
1929,50.6
1930,51.5
1931,52.8
1932,51.8
1933,51.1
1934,49.8
1935,50.2
1936,50.4
1937,51.6
1938,51.8
1939,50.9
1940,48.8
1941,51.7
1942,51
1943,50.6
1944,51.7
1945,51.5
1946,52.1
1947,51.3
1948,51
1949,54
1950,51.4
1951,52.7
1952,53.1
1953,54.6
1954,52
1955,52
1956,50.9
1957,52.6
1958,50.2
1959,52.6
1960,51.6
1961,51.9
1962,50.5
1963,50.9
1964,51.7
1965,51.4
1966,51.7
1967,50.8
1968,51.9
1969,51.8
1970,51.9
1971,53
