time,presidents
1945,NA
1945.25,87
1945.5,82
1945.75,75
1946,63
1946.25,50
1946.5,43
1946.75,32
1947,35
1947.25,60
1947.5,54
1947.75,55
1948,36
1948.25,39
1948.5,NA
1948.75,NA
1949,69
1949.25,57
1949.5,57
1949.75,51
1950,45
1950.25,37
1950.5,46
1950.75,39
1951,36
1951.25,24
1951.5,32
1951.75,23
1952,25
1952.25,32
1952.5,NA
1952.75,32
1953,59
1953.25,74
1953.5,75
1953.75,60
1954,71
1954.25,61
1954.5,71
1954.75,57
1955,71
1955.25,68
1955.5,79
1955.75,73
1956,76
1956.25,71
1956.5,67
1956.75,75
1957,79
1957.25,62
1957.5,63
1957.75,57
1958,60
1958.25,49
1958.5,48
1958.75,52
1959,57
1959.25,62
1959.5,61
1959.75,66
1960,71
1960.25,62
1960.5,61
1960.75,57
1961,72
1961.25,83
1961.5,71
1961.75,78
1962,79
1962.25,71
1962.5,62
1962.75,74
1963,76
1963.25,64
1963.5,62
1963.75,57
1964,80
1964.25,73
1964.5,69
1964.75,69
1965,71
1965.25,64
1965.5,69
1965.75,62
1966,63
1966.25,46
1966.5,56
1966.75,44
1967,44
1967.25,52
1967.5,38
1967.75,46
1968,36
1968.25,49
1968.5,35
1968.75,44
1969,59
1969.25,65
1969.5,65
1969.75,56
1970,66
1970.25,53
1970.5,61
1970.75,52
1971,51
1971.25,48
1971.5,54
1971.75,49
1972,49
1972.25,61
1972.5,NA
1972.75,NA
1973,68
1973.25,44
1973.5,40
1973.75,27
1974,28
1974.25,25
1974.5,24
1974.75,24
