time,sunspot.month
1749,58
1749.083333,62.6
1749.166667,70
1749.25,55.7
1749.333333,85
1749.416667,83.5
1749.5,94.8
1749.583333,66.3
1749.666667,75.9
1749.75,75.5
1749.833333,158.6
1749.916667,85.2
1750,73.3
1750.083333,75.9
1750.166667,89.2
1750.25,88.3
1750.333333,90
1750.416667,100
1750.5,85.4
1750.583333,103
1750.666667,91.2
1750.75,65.7
1750.833333,63.3
1750.916667,75.4
1751,70
1751.083333,43.5
1751.166667,45.3
1751.25,56.4
1751.333333,60.7
1751.416667,50.7
1751.5,66.3
1751.583333,59.8
1751.666667,23.5
1751.75,23.2
1751.833333,28.5
1751.916667,44
1752,35
1752.083333,50
1752.166667,71
1752.25,59.3
1752.333333,59.7
1752.416667,39.6
1752.5,78.4
1752.583333,29.3
1752.666667,27.1
1752.75,46.6
1752.833333,37.6
1752.916667,40
1753,44
1753.083333,32
1753.166667,45.7
1753.25,38
1753.333333,36
1753.416667,31.7
1753.5,22
1753.583333,39
1753.666667,28
1753.75,25
1753.833333,20
1753.916667,6.7
1754,0
1754.083333,3
1754.166667,1.7
1754.25,13.7
1754.333333,20.7
1754.416667,26.7
1754.5,18.8
1754.583333,12.3
1754.666667,8.2
1754.75,24.1
1754.833333,13.2
1754.916667,4.2
1755,10.2
1755.083333,11.2
1755.166667,6.8
1755.25,6.5
1755.333333,0
1755.416667,0
1755.5,8.6
1755.583333,3.2
1755.666667,17.8
1755.75,23.7
1755.833333,6.8
1755.916667,20
1756,12.5
1756.083333,7.1
1756.166667,5.4
1756.25,9.4
1756.333333,12.5
1756.416667,12.9
1756.5,3.6
1756.583333,6.4
1756.666667,11.8
1756.75,14.3
1756.833333,17
1756.916667,9.4
1757,14.1
1757.083333,21.2
1757.166667,26.2
1757.25,30
1757.333333,38.1
1757.416667,12.8
1757.5,25
1757.583333,51.3
1757.666667,39.7
1757.75,32.5
1757.833333,64.7
1757.916667,33.5
1758,37.6
1758.083333,52
1758.166667,49
1758.25,72.3
1758.333333,46.4
1758.416667,45
1758.5,44
1758.583333,38.7
1758.666667,62.5
1758.75,37.7
1758.833333,43
1758.916667,43
1759,48.3
1759.083333,44
1759.166667,46.8
1759.25,47
1759.333333,49
1759.416667,50
1759.5,51
1759.583333,71.3
1759.666667,77.2
1759.75,59.7
1759.833333,46.3
1759.916667,57
1760,67.3
1760.083333,59.5
1760.166667,74.7
1760.25,58.3
1760.333333,72
1760.416667,48.3
1760.5,66
1760.583333,75.6
1760.666667,61.3
1760.75,50.6
1760.833333,59.7
1760.916667,61
1761,70
1761.083333,91
1761.166667,80.7
1761.25,71.7
1761.333333,107.2
1761.416667,99.3
1761.5,94.1
1761.583333,91.1
1761.666667,100.7
1761.75,88.7
1761.833333,89.7
1761.916667,46
1762,43.8
1762.083333,72.8
1762.166667,45.7
1762.25,60.2
1762.333333,39.9
1762.416667,77.1
1762.5,33.8
1762.583333,67.7
1762.666667,68.5
1762.75,69.3
1762.833333,77.8
1762.916667,77.2
1763,56.5
1763.083333,31.9
1763.166667,34.2
1763.25,32.9
1763.333333,32.7
1763.416667,35.8
1763.5,54.2
1763.583333,26.5
1763.666667,68.1
1763.75,46.3
1763.833333,60.9
1763.916667,61.4
1764,59.7
1764.083333,59.7
1764.166667,40.2
1764.25,34.4
1764.333333,44.3
1764.416667,30
1764.5,30
1764.583333,30
1764.666667,28.2
1764.75,28
1764.833333,26
1764.916667,25.7
1765,24
1765.083333,26
1765.166667,25
1765.25,22
1765.333333,20.2
1765.416667,20
1765.5,27
1765.583333,29.7
1765.666667,16
1765.75,14
1765.833333,14
1765.916667,13
1766,12
1766.083333,11
1766.166667,36.6
1766.25,6
1766.333333,26.8
1766.416667,3
1766.5,3.3
1766.583333,4
1766.666667,4.3
1766.75,5
1766.833333,5.7
1766.916667,19.2
1767,27.4
1767.083333,30
1767.166667,43
1767.25,32.9
1767.333333,29.8
1767.416667,33.3
1767.5,21.9
1767.583333,40.8
1767.666667,42.7
1767.75,44.1
1767.833333,54.7
1767.916667,53.3
1768,53.5
1768.083333,66.1
1768.166667,46.3
1768.25,42.7
1768.333333,77.7
1768.416667,77.4
1768.5,52.6
1768.583333,66.8
1768.666667,74.8
1768.75,77.8
1768.833333,90.6
1768.916667,111.8
1769,73.9
1769.083333,64.2
1769.166667,64.3
1769.25,96.7
1769.333333,73.6
1769.416667,94.4
1769.5,118.6
1769.583333,120.3
1769.666667,148.8
1769.75,158.2
1769.833333,148.1
1769.916667,112
1770,104
1770.083333,142.5
1770.166667,80.1
1770.25,51
1770.333333,70.1
1770.416667,83.3
1770.5,109.8
1770.583333,126.3
1770.666667,104.4
1770.75,103.6
1770.833333,132.2
1770.916667,102.3
1771,36
1771.083333,46.2
1771.166667,46.7
1771.25,64.9
1771.333333,152.7
1771.416667,119.5
1771.5,67.7
1771.583333,58.5
1771.666667,101.4
1771.75,90
1771.833333,99.7
1771.916667,95.7
1772,100.9
1772.083333,90.8
1772.166667,31.1
1772.25,92.2
1772.333333,38
1772.416667,57
1772.5,77.3
1772.583333,56.2
1772.666667,50.5
1772.75,78.6
1772.833333,61.3
1772.916667,64
1773,54.6
1773.083333,29
1773.166667,51.2
1773.25,32.9
1773.333333,41.1
1773.416667,28.4
1773.5,27.7
1773.583333,12.7
1773.666667,29.3
1773.75,26.3
1773.833333,40.9
1773.916667,43.2
1774,46.8
1774.083333,65.4
1774.166667,55.7
1774.25,43.8
1774.333333,51.3
1774.416667,28.5
1774.5,17.5
1774.583333,6.6
1774.666667,7.9
1774.75,14
1774.833333,17.7
1774.916667,12.2
1775,4.4
1775.083333,0
1775.166667,11.6
1775.25,11.2
1775.333333,3.9
