time,treering
-6000,1.345
-5999,1.077
-5998,1.545
-5997,1.319
-5996,1.413
-5995,1.069
-5994,0.489
-5993,1.171
-5992,0.887
-5991,0.493
-5990,0.346
-5989,0.846
-5988,0.837
-5987,0.079
-5986,0.829
-5985,0.919
-5984,0.776
-5983,0.081
-5982,0.876
-5981,0.254
-5980,1.092
-5979,0.659
-5978,0.9
-5977,0.732
-5976,0.703
-5975,0.69
-5974,0.581
-5973,0.834
-5972,0.838
-5971,0.6
-5970,0.611
-5969,0.704
-5968,0.517
-5967,0.525
-5966,1.086
-5965,0.849
-5964,0.183
-5963,0.823
-5962,0.433
-5961,0.849
-5960,1.021
-5959,0.813
-5958,0.675
-5957,0.479
-5956,0.824
-5955,0.473
-5954,1.01
-5953,1.297
-5952,0.917
-5951,0.457
-5950,0.866
-5949,1.121
-5948,1.301
-5947,1.017
-5946,0.676
-5945,0.816
-5944,1.365
-5943,0.759
-5942,0.791
-5941,1.016
-5940,0.959
-5939,0.966
-5938,1.355
-5937,0.966
-5936,0.771
-5935,0.561
-5934,1.712
-5933,1.514
-5932,0.677
-5931,0.613
-5930,1.265
-5929,0.342
-5928,0.918
-5927,1.346
-5926,0.786
-5925,0.557
-5924,1.444
-5923,1.516
-5922,1.329
-5921,1.071
-5920,1.105
-5919,1.211
-5918,1.491
-5917,1.105
-5916,1.285
-5915,1.202
-5914,1.587
-5913,0.663
-5912,1.139
-5911,1.073
-5910,0.659
-5909,0.821
-5908,1.08
-5907,1.149
-5906,0.863
-5905,0.889
-5904,1.175
-5903,0.938
-5902,1.007
-5901,1.18
-5900,1.23
-5899,1.249
-5898,1.435
-5897,0.418
-5896,0.59
-5895,0.576
-5894,1.001
-5893,0.138
-5892,1.356
-5891,0.914
-5890,0.637
-5889,1.17
-5888,0.841
-5887,0.88
-5886,0.894
-5885,0.889
-5884,0.482
-5883,0.17
-5882,1.148
-5881,0.905
-5880,0.642
-5879,0.717
-5878,0.107
-5877,0.686
-5876,0.254
-5875,0.961
-5874,0.789
-5873,1.121
-5872,1.362
-5871,1.047
-5870,1.082
-5869,0.239
-5868,0.621
-5867,0.471
-5866,0.744
-5865,0.45
-5864,1.167
-5863,1.13
-5862,1.039
-5861,0.329
-5860,1.351
-5859,1.15
-5858,0.998
-5857,1.052
-5856,1.283
-5855,1.245
-5854,1.395
-5853,1.223
-5852,0.593
-5851,1.325
-5850,0.741
-5849,1.533
-5848,1.48
-5847,1.311
-5846,0.97
-5845,0.924
-5844,1.219
-5843,1.337
-5842,0.671
-5841,1.195
-5840,0.999
-5839,1.299
-5838,1.317
-5837,1.785
-5836,0.711
-5835,1.196
-5834,1.144
-5833,1.036
-5832,1.285
-5831,1.07
-5830,1.076
-5829,0.758
-5828,0.348
-5827,0.826
-5826,0.923
-5825,1.108
-5824,1.294
-5823,1.32
-5822,1.061
-5821,0.418
-5820,1.205
-5819,0.212
-5818,1.315
-5817,1.186
-5816,0.995
-5815,0.914
-5814,0.728
-5813,1.068
-5812,0.896
-5811,0.881
-5810,0.483
-5809,0.49
-5808,1.095
-5807,1.379
-5806,0.832
-5805,1.101
-5804,0.876
-5803,0.992
-5802,1.013
-5801,0.873
-5800,1.065
-5799,0.621
-5798,1.041
-5797,1.108
-5796,1.114
-5795,1.082
-5794,0.851
-5793,1.085
-5792,1.39
-5791,1.406
-5790,1.163
-5789,1.387
-5788,1.357
-5787,0.463
-5786,0.547
-5785,1.277
-5784,1.108
-5783,0.996
-5782,1.085
-5781,1.391
-5780,1.075
-5779,0.913
-5778,1.299
-5777,1.259
-5776,1.32
-5775,1.122
-5774,1.491
-5773,1.298
-5772,1.112
-5771,1.305
-5770,1.133
-5769,1.18
-5768,1.284
-5767,1.276
-5766,1.099
-5765,0.881
-5764,1
-5763,1.173
-5762,1.13
-5761,1.084
-5760,0.999
-5759,1.235
-5758,1.119
-5757,1.049
-5756,1.089
-5755,1.233
-5754,1.304
-5753,1.28
-5752,1.208
-5751,0.874
-5750,0.962
-5749,1.372
-5748,1.224
-5747,1.117
-5746,1.121
-5745,1.48
-5744,1.675
-5743,1.298
-5742,0.996
-5741,1.306
-5740,1.027
-5739,0.823
-5738,1.424
-5737,1.041
-5736,0.463
-5735,1.13
-5734,0.909
-5733,1.369
-5732,0.982
-5731,1.08
-5730,1.419
-5729,1.286
-5728,1.581
-5727,0.875
-5726,0.359
-5725,0.319
-5724,0.874
-5723,1.145
-5722,0.807
-5721,0.964
-5720,0.892
-5719,0.442
-5718,0.948
-5717,1.013
-5716,0.897
-5715,1.153
-5714,1.145
-5713,0.628
-5712,0.325
-5711,1.325
-5710,1.047
-5709,0.911
-5708,1.376
-5707,0.975
-5706,1.099
-5705,0.632
-5704,0.934
-5703,1.175
-5702,0.81
-5701,0.855
-5700,1.407
-5699,1.126
-5698,1.148
-5697,0.787
-5696,0.835
-5695,1.101
-5694,0.761
-5693,0.907
-5692,1.149
-5691,0.865
-5690,0.785
-5689,1.25
-5688,0.646
-5687,0.937
-5686,0.925
-5685,0.792
-5684,1.212
-5683,0.987
-5682,0.409
-5681,1.062
-5680,0.634
-5679,1.006
-5678,1.21
-5677,1.315
-5676,0.96
-5675,0.47
-5674,1.01
-5673,0.729
-5672,1.212
-5671,0.851
-5670,1.114
-5669,1.016
-5668,0.954
-5667,0.38
-5666,1.178
-5665,1.251
-5664,1.194
-5663,1.103
-5662,1.258
-5661,0.836
-5660,1.136
-5659,0.884
-5658,0.498
-5657,0.084
-5656,1.286
-5655,0.49
-5654,1.037
-5653,0.986
-5652,1.073
-5651,0.381
-5650,1.001
-5649,0.878
-5648,1.136
-5647,0.783
-5646,0.917
-5645,0.802
-5644,0.866
-5643,0.728
-5642,1.264
-5641,1.203
-5640,1.402
-5639,1.347
-5638,1.234
-5637,1.069
-5636,1.356
-5635,1.526
-5634,1.345
-5633,0.79
-5632,1.5
-5631,0.752
-5630,0.94
-5629,1.121
-5628,1.186
-5627,1.065
-5626,1.164
-5625,1.469
-5624,0.817
-5623,0.185
-5622,1.433
-5621,1.555
-5620,1.201
-5619,1.317
-5618,0.955
-5617,1.005
-5616,0.901
-5615,0.821
-5614,0.479
-5613,0.75
-5612,0.182
-5611,0.936
-5610,1.058
-5609,1.074
-5608,0.934
-5607,0.903
-5606,0.309
-5605,0.786
-5604,0.585
-5603,0.811
-5602,0.969
-5601,1.089
-5600,0.581
-5599,0.99
-5598,0.9
-5597,0.8
-5596,0.771
-5595,0.919
-5594,0.8
-5593,0.658
-5592,0.328
-5591,0.698
-5590,0.929
-5589,0.677
-5588,0.401
-5587,1.109
-5586,0.274
-5585,0.668
-5584,0.96
-5583,0.221
-5582,1.025
-5581,1.083
-5580,0.593
-5579,0.994
-5578,0.861
-5577,0.588
-5576,0.923
-5575,1.107
-5574,0.693
-5573,0.882
-5572,0.591
-5571,0.66
-5570,1.075
-5569,1.146
-5568,0.965
-5567,0.795
-5566,1.061
-5565,0.946
-5564,0.705
-5563,0.744
-5562,1.063
-5561,1.182
-5560,1.136
-5559,1.229
-5558,0.653
-5557,0.892
-5556,0.696
-5555,0.465
-5554,0.962
-5553,1.17
-5552,0.911
-5551,1.293
-5550,1.088
-5549,0.853
-5548,1.146
-5547,0.578
-5546,0.9
-5545,0.975
-5544,1.191
-5543,0.481
-5542,0.155
-5541,1.455
-5540,1.233
-5539,0.93
-5538,1.131
-5537,1.304
-5536,1.393
-5535,1.128
-5534,0.801
-5533,1.619
-5532,1.423
-5531,1.606
-5530,1.395
-5529,1.291
-5528,1.456
-5527,1.674
-5526,1.256
-5525,1.135
-5524,1.19
-5523,1.167
-5522,1.065
-5521,1.292
-5520,0.575
-5519,1.505
-5518,1.239
-5517,0.993
-5516,0.925
-5515,0.988
-5514,1.171
-5513,1.133
-5512,1.412
-5511,1.07
-5510,1.272
-5509,0.79
-5508,1.082
-5507,1.179
-5506,1.109
-5505,1.588
-5504,1.053
-5503,1.123
-5502,1.246
-5501,1.361
-5500,0.86
-5499,0.146
-5498,1.252
-5497,1.35
-5496,0.907
-5495,1.464
-5494,1.067
