"","QUADRICULA","TET","crestlark","linnet","x","y"
"13705","NG56","E",NA,NA,551000,4669000
"13710","NG56","J",NA,NA,553000,4669000
"13715","NG56","P",NA,NA,555000,4669000
"13720","NG56","U",NA,NA,557000,4669000
"13725","NG56","Z",NA,NA,559000,4669000
"13880","NG66","E",NA,NA,561000,4669000
"13885","NG66","J",NA,NA,563000,4669000
"13890","NG66","P",NA,NA,565000,4669000
"13895","NG66","U",NA,NA,567000,4669000
"13900","NG66","Z",NA,NA,569000,4669000
"13704","NG56","D",NA,NA,551000,4667000
"13709","NG56","I",NA,NA,553000,4667000
"13714","NG56","N",NA,NA,555000,4667000
"13719","NG56","T",NA,NA,557000,4667000
"13724","NG56","Y",NA,NA,559000,4667000
"13879","NG66","D",NA,NA,561000,4667000
"13884","NG66","I",NA,NA,563000,4667000
"13889","NG66","N",NA,NA,565000,4667000
"13894","NG66","T",NA,NA,567000,4667000
"13899","NG66","Y",NA,NA,569000,4667000
"13703","NG56","C",NA,NA,551000,4665000
"13708","NG56","H",NA,NA,553000,4665000
"13713","NG56","M",NA,NA,555000,4665000
"13718","NG56","S",NA,NA,557000,4665000
"13723","NG56","X",NA,NA,559000,4665000
"13878","NG66","C",NA,NA,561000,4665000
"13883","NG66","H",0,0,563000,4665000
"13888","NG66","M",NA,NA,565000,4665000
"13893","NG66","S",0,1,567000,4665000
"13898","NG66","X",NA,NA,569000,4665000
"13702","NG56","B",NA,NA,551000,4663000
"13707","NG56","G",NA,NA,553000,4663000
"13712","NG56","L",NA,NA,555000,4663000
"13717","NG56","R",NA,NA,557000,4663000
"13722","NG56","W",NA,NA,559000,4663000
"13877","NG66","B",0,0,561000,4663000
"13882","NG66","G",NA,NA,563000,4663000
"13887","NG66","L",0,1,565000,4663000
"13892","NG66","R",NA,NA,567000,4663000
"13897","NG66","W",NA,NA,569000,4663000
"13701","NG56","A",NA,NA,551000,4661000
"13706","NG56","F",NA,NA,553000,4661000
"13711","NG56","K",NA,NA,555000,4661000
"13716","NG56","Q",NA,NA,557000,4661000
"13721","NG56","V",NA,NA,559000,4661000
"13876","NG66","A",NA,NA,561000,4661000
"13881","NG66","F",0,1,563000,4661000
"13886","NG66","K",NA,NA,565000,4661000
"13891","NG66","Q",0,0,567000,4661000
"13896","NG66","V",NA,NA,569000,4661000
"13230","NG25","E",NA,NA,521000,4659000
"13235","NG25","J",NA,NA,523000,4659000
"13240","NG25","P",NA,NA,525000,4659000
"13245","NG25","U",NA,NA,527000,4659000
"13250","NG25","Z",NA,NA,529000,4659000
