"","pop","day"
"1",948,0.5
"2",942,1
"3",911,1.5
"4",858,2
"5",801,2.5
"6",676,3
"7",504,3.5
"8",397,4
"9",248,4.5
"10",146,5
"11",1801,5.5
"12",6235,6
"13",5974,6.5
"14",8921,7
"15",6610,7.5
"16",5973,8
"17",5673,8.5
"18",3875,9
"19",2361,9.5
"20",1352,10
"21",1226,10.5
"22",912,11
"23",521,11.5
"24",363,12
"25",229,12.5
"26",142,13
"27",82,13.5
"28",542,14
"29",939,14.5
"30",2431,15
"31",3687,15.5
"32",4543,16
"33",4535,16.5
"34",5441,17
"35",4412,17.5
"36",3022,18
"37",2656,18.5
"38",1967,19
"39",1295,19.5
"40",915,20
"41",551,20.5
"42",313,21
"43",167,21.5
"44",95,22
"45",93,22.5
"46",60,23
"47",68,23.5
"48",5259,24
"49",6673,24.5
"50",5441,25
"51",3987,25.5
"52",2952,26
"53",3648,26.5
"54",4222,27
"55",3889,27.5
"56",2295,28
"57",1509,28.5
"58",928,29
"59",739,29.5
"60",566,30
"61",383,30.5
"62",274,31
"63",192,31.5
"64",226,32
"65",519,32.5
"66",1224,33
"67",2236,33.5
"68",3818,34
"69",6208,34.5
"70",5996,35
"71",5789,35.5
"72",6652,36
"73",7939,36.5
"74",4868,37
"75",3952,37.5
"76",2712,38
"77",1734,38.5
"78",1224,39
"79",703,39.5
"80",508,40
"81",366,40.5
"82",279,41
"83",243,41.5
"84",343,42
"85",761,42.5
"86",1025,43
"87",1221,43.5
"88",1600,44
"89",2267,44.5
"90",3290,45
"91",3471,45.5
"92",3637,46
"93",3703,46.5
"94",4876,47
"95",5364,47.5
"96",4890,48
"97",3029,48.5
"98",1950,49
"99",1225,49.5
"100",1076,50
"101",905,50.5
"102",772,51
"103",628,51.5
"104",473,52
"105",539,52.5
"106",825,53
"107",1702,53.5
"108",2868,54
"109",4473,54.5
"110",5221,55
"111",6592,55.5
"112",6400,56
"113",4752,56.5
"114",3521,57
"115",2719,57.5
"116",1931,58
"117",1500,58.5
"118",1082,59
"119",849,59.5
"120",774,60
"121",864,60.5
"122",1306,61
"123",1624,61.5
"124",2224,62
"125",2423,62.5
"126",2959,63
"127",3547,63.5
"128",7237,64
"129",5218,64.5
"130",5311,65
"131",4273,65.5
"132",3270,66
"133",2281,66.5
"134",1549,67
"135",1091,67.5
"136",796,68
"137",610,68.5
"138",445,69
"139",894,69.5
"140",1454,70
"141",2262,70.5
"142",2363,71
"143",3847,71.5
"144",3876,72
"145",3935,72.5
"146",3479,73
"147",3415,73.5
"148",3861,74
"149",3571,74.5
"150",3113,75
"151",2319,75.5
"152",1630,76
"153",1297,76.5
"154",861,77
"155",761,77.5
"156",659,78
"157",701,78.5
"158",762,79
"159",1188,79.5
"160",1778,80
"161",2428,80.5
"162",3806,81
"163",4519,81.5
"164",5646,82
"165",4851,82.5
"166",5374,83
"167",4713,83.5
"168",7367,84
"169",7236,84.5
"170",5345,85
"171",3636,85.5
"172",2417,86
"173",1258,86.5
"174",766,87
"175",479,87.5
"176",402,88
"177",248,88.5
"178",254,89
"179",604,89.5
"180",1346,90
