"","X","Y","medFPQ","region","meanTheta"
"1",65,9,3.923048,NA,2.838555
"2",60,10,0.492985,0,1.218145
"3",63,10,2.759576,NA,1.983947
"4",65,10,3e-06,0,1.30603
"5",66,10,0.854175,0,-2.496284
"6",54,11,2.235795,NA,1.648068
"7",55,11,2.235795,NA,1.648068
"8",56,11,1.756946,NA,1.438358
"9",57,11,2.567276,NA,1.829554
"10",58,11,0.378068,0,0.991176
"11",59,11,0.897452,0,0.753169
"12",60,11,1.286311,0,2.217382
"13",61,11,0.321263,0,2.665496
"14",62,11,1.31345,NA,0.045185
"15",63,11,1.31345,NA,0.609338
"16",64,11,0.982423,0,0.2824
"17",65,11,4e-06,0,-0.856212
"18",66,11,3.126586,NA,-0.418867
"19",68,11,1.563106,NA,1.112677
"20",69,11,0.176869,0,0.842467
"21",70,11,0.176869,0,0.842467
"22",71,11,1.317522,NA,-0.781922
"23",72,11,2.104228,NA,-0.667894
"24",73,11,1.637876,NA,-1.862658
"25",74,11,0.917094,0,-1.919664
"26",53,12,1.194972,0,2.448882
"27",54,12,2.401229,NA,0.94744
"28",55,12,2.401229,NA,0.94744
"29",56,12,2.302095,NA,1.92069
"30",57,12,0.70752,0,2.28557
"31",58,12,0.974302,0,2.642354
"32",59,12,0.750247,0,2.35194
"33",60,12,0.421052,0,-0.364995
"34",61,12,2.889534,NA,-1.446854
"35",62,12,2.889534,NA,0.29846
"36",63,12,0.674517,0,0.225038
"37",64,12,0.889652,0,-2.397198
"38",65,12,1.125669,0,2.996419
"39",66,12,1.112756,0,0.179633
"40",67,12,1.042707,0,1.943612
"41",68,12,1.158631,0,1.930314
"42",69,12,0.780726,0,2.294301
"43",70,12,0.780726,0,2.294301
"44",71,12,0.650051,0,2.369717
"45",72,12,0.101773,0,2.194319
"46",73,12,0.806137,0,-1.305906
"47",74,12,1.876839,NA,1.124474
"48",75,12,1.395535,NA,-2.234135
"49",76,12,0.82829,0,-0.352739
"50",51,13,0.175517,0,-3.105304
"51",52,13,0.67632,0,-2.959337
"52",53,13,3.678576,NA,1.894163
"53",54,13,0.907655,0,-3.102075
"54",55,13,0.907655,0,-3.102075
"55",56,13,0.648938,0,2.284476
"56",57,13,1.610311,NA,2.726816
"57",58,13,0.370819,0,-1.940344
"58",59,13,0.433818,0,2.687761
"59",60,13,0.385295,0,1.443264
"60",61,13,0.487779,0,0.602135
"61",62,13,1.915034,NA,-0.362246
"62",63,13,1.720098,NA,-2.427943
"63",64,13,0.554788,0,-2.821183
"64",65,13,1.193536,0,2.551761
"65",66,13,0.620672,0,1.159201
"66",67,13,0.056893,0,2.100379
"67",68,13,1.424876,NA,-2.869676
"68",69,13,1.776834,NA,-2.145401
"69",70,13,1.776834,NA,-2.145401
"70",71,13,0.313021,0,0.311315
"71",72,13,1.600155,NA,2.884435
"72",73,13,4.604268,NA,0.035688
"73",74,13,5.009153,NA,-0.580119
"74",75,13,0.816163,0,-2.25153
"75",76,13,1.173015,0,1.42229
"76",77,13,3.05685,NA,2.875297
"77",50,14,0.868106,0,-2.630527
"78",51,14,1.329858,NA,3.136173
"79",52,14,1.083842,0,1.090678
"80",53,14,0.829283,0,-2.395577
"81",54,14,0.729403,0,0.228261
"82",55,14,0.729403,0,0.228261
"83",56,14,1.765653,NA,2.943403
"84",57,14,2.304032,NA,2.753199
"85",58,14,0.620366,0,2.85457
"86",59,14,2.20396,NA,-0.040286
"87",60,14,2.954165,NA,0.485387
"88",61,14,0.804919,0,0.797571
"89",62,14,0.804919,0,0.725858
"90",63,14,0.535301,0,-0.72814
"91",64,14,1.511115,NA,2.875023
"92",65,14,3.166147,NA,3.101923
"93",66,14,1.022176,0,2.214211
"94",67,14,1.122798,0,1.253726
"95",68,14,1.055845,0,-1.932349
"96",69,14,1.055845,0,-1.932349
"97",70,14,0.409754,0,2.369809
"98",71,14,1.162534,0,0.748307
"99",72,14,0.499023,0,3.130941
"100",73,14,2.083984,NA,1.149622
"101",74,14,2.158663,NA,-0.185562
"102",75,14,1.314017,NA,-2.099658
"103",76,14,2.162271,NA,2.512287
"104",77,14,2.873475,NA,-2.960496
"105",78,14,1.070606,0,-2.938218
"106",49,15,1.742897,NA,1.774943
"107",50,15,0.809971,0,2.974789
"108",51,15,2.405871,NA,3.118267
"109",52,15,0.883497,0,3.082163
"110",53,15,1.468738,NA,2.692426
"111",54,15,0.385186,0,1.147995
"112",55,15,0.385186,0,1.147995
"113",56,15,0.73152,0,1.610485
"114",57,15,4.600806,NA,2.394979
"115",58,15,0.788655,0,2.49509
"116",59,15,0.668417,0,-0.160348
"117",60,15,0.508353,0,0.056721
"118",61,15,0.742775,0,-0.635445
"119",62,15,0.742775,0,-0.569723
"120",63,15,1.613379,NA,-0.030372
"121",64,15,0.302079,0,1.664507
"122",65,15,7.854957,NA,3.009873
"123",66,15,3.989513,NA,2.886748
"124",67,15,0.982501,0,-0.962426
"125",68,15,0.819656,0,-2.884988
"126",69,15,0.819656,0,-2.884988
"127",70,15,1.191046,0,1.652346
"128",71,15,0.338579,0,2.215453
"129",72,15,1.361944,NA,-0.142082
"130",73,15,4.486479,NA,0.163723
"131",74,15,0.818668,0,-0.357778
"132",75,15,1.320577,NA,0.920085
"133",76,15,1.407107,NA,-0.275835
"134",77,15,2.064015,NA,-0.888886
"135",78,15,0.811584,0,-0.139445
"136",79,15,0.495156,0,-2.143694
"137",80,15,5.812348,NA,-2.893058
"138",48,16,1.705894,NA,1.663456
"139",49,16,0.253383,0,1.535978
"140",50,16,1.027734,0,2.329488
"141",51,16,6.602789,NA,2.798092
"142",52,16,0.858283,0,2.417668
"143",53,16,2.566357,NA,-1.030888
"144",54,16,0.431535,0,-0.42571
"145",55,16,0.431535,0,-0.42571
"146",56,16,1.344195,NA,2.834018
"147",57,16,2.06276,NA,1.400713
"148",58,16,0.684444,0,2.580395
"149",59,16,0.573956,0,2.939153
"150",60,16,1.624694,NA,1.593718
"151",61,16,2.555817,NA,-0.686041
"152",62,16,1.963754,NA,-2.222372
"153",63,16,0.785951,0,2.736505
"154",64,16,1.199587,0,2.631386
"155",65,16,9.556839,NA,3.091583
"156",66,16,5.715859,NA,-3.111887
"157",67,16,2.497767,NA,1.277668
"158",68,16,0.948142,0,-0.714217
"159",69,16,0.948142,0,-0.714217
"160",70,16,1.269777,0,2.980866
"161",71,16,1.307593,NA,-2.39919
"162",72,16,5.074293,NA,-0.504063
"163",73,16,3.124037,NA,0.547123
"164",74,16,1.544876,NA,-0.643663
"165",75,16,6.735567,NA,-0.004419
"166",76,16,0.37524,0,-0.81456
"167",77,16,2.182883,NA,-2.711571
"168",78,16,0.485956,0,2.20106
"169",79,16,4.213245,NA,-2.802081
"170",80,16,2.744808,NA,-3.051008
"171",81,16,1.255634,0,-2.893394
"172",47,17,2.192085,NA,1.24913
"173",48,17,2.026188,NA,2.151052
"174",49,17,2.30581,NA,1.147066
"175",50,17,0.491568,0,-2.540326
"176",51,17,1.282888,0,2.692896
"177",52,17,0.279407,0,2.758593
"178",53,17,0.547463,0,-1.412575
"179",54,17,0.596934,0,2.548846
"180",55,17,0.596934,0,2.548846
"181",56,17,0.323344,0,1.980175
"182",57,17,1.366487,NA,1.926431
"183",58,17,1.366487,NA,-2.304645
"184",59,17,0.14469,0,2.486592
"185",60,17,1.531702,NA,2.804594
"186",61,17,1.735347,NA,-2.207451
"187",62,17,1.735347,NA,-2.861783
"188",63,17,0.258997,0,3.052921
"189",64,17,1.897429,NA,3.029661
