"","death","pm10median","pm25median","o3median","so2median","time","tmpd"
"1",130,-7.433544304,NA,-19.59233786,1.9280425967,-2556.5,31.5
"2",150,NA,NA,-19.03861366,-0.985563116,-2555.5,33
"3",101,-0.826530612,NA,-20.21733786,-1.891416086,-2554.5,33
"4",135,5.5664556962,NA,-19.6756712,6.1393412739,-2553.5,29
"5",126,NA,NA,-19.21733786,2.2784648713,-2552.5,32
"6",130,6.5664556962,NA,-17.63400453,9.8585839137,-2551.5,40
"7",129,-0.433544304,NA,-15.37439797,-5.818992059,-2550.5,34.5
"8",109,-5.433544304,NA,-12.17052725,-5.107941432,-2549.5,29
"9",125,-0.571428571,NA,-20.09233786,0.1822373332,-2548.5,26.5
"10",153,NA,NA,-18.58028032,-2.046929333,-2547.5,32.5
"11",124,-19.4335443,NA,-5.712193917,-1.60099878,-2546.5,29.5
"12",111,-15.4335443,NA,-15.62886058,2.937930625,-2545.5,34.5
"13",104,11.566455696,NA,-17.04552725,3.6418000592,-2544.5,34
"14",118,1.5664556962,NA,-18.62886058,6.1834667259,-2543.5,37.5
"15",109,-7.256018217,NA,-18.71219392,-1.141416086,-2542.5,32.5
"16",125,-22.4335443,NA,-15.00386058,-3.153813391,-2541.5,25
"17",128,NA,NA,-17.37886058,1.8072373332,-2540.5,27
"18",141,-2.433544304,NA,-17.00386058,0.5626919865,-2539.5,17.5
"19",130,-9.433544304,NA,-7.63400453,-0.718613289,-2538.5,23
"20",133,-3.433544304,NA,-18.41361366,0.6816042276,-2537.5,20.5
"21",115,-4.172413793,NA,-16.9933238,3.6534648713,-2536.5,22
"22",121,10.566455696,NA,-12.62886058,-1.268914807,-2535.5,19.5
"23",107,13.566455696,NA,-7.925671197,-2.268914807,-2534.5,2.5
"24",123,-3.433544304,NA,-12.25900453,-1.72474942,-2533.5,2
"25",107,NA,NA,-15.79552725,-0.804868462,-2532.5,9.5
"26",116,29.566455696,NA,-18.75900453,0.7226746072,-2531.5,16
"27",130,0.1280788177,NA,-19.83719392,8.9726746072,-2530.5,17.5
"28",114,5.5664556962,NA,-16.71733786,-0.433082753,-2529.5,29.5
"29",123,-6.433544304,NA,-20.06825452,3.2727518601,-2528.5,29.5
"30",103,17.566455696,NA,-14.58719392,2.6477518601,-2527.5,32.5
"31",115,-5.433544304,NA,-15.24694699,-0.35224814,-2526.5,27.5
"32",127,NA,NA,-17.58028032,1.6894185268,-2525.5,41
"33",131,6.923597025,NA,-19.95528032,2.320131538,-2524.5,36.5
"34",112,17.566455696,NA,-15.17052725,-2.454214434,-2523.5,34
"35",126,-3.070220428,NA,-13.83373712,0.1060851935,-2522.5,31.5
"36",127,28.566455696,NA,-19.16707045,5.3739429164,-2521.5,29.5
"37",103,21.566455696,NA,-18.82377335,-1.016416086,-2520.5,37
"38",128,2.5664556962,NA,-19.22957045,3.6477518601,-2519.5,40.5
"39",133,-17.1600074,NA,0.4995962132,-1.185581473,-2518.5,32.5
"40",115,0.5664556962,NA,-15.31290379,3.3560851935,-2517.5,24.5
"41",124,-5.433544304,NA,-16.50040379,2.9310079406,-2516.5,35
"42",117,41.566455696,NA,-16.88652039,4.5682064056,-2515.5,39.5
"43",116,42.566455696,NA,-17.47957045,-1.768914807,-2514.5,34
"44",128,-2.433544304,NA,-14.24225161,1.1117982046,-2513.5,34.5
"45",119,-10.98039216,NA,-13.50040379,-4.316533274,-2512.5,31.5
"46",115,-29.4335443,NA,3.6662628798,-4.652325393,-2511.5,23.5
"47",107,-27.4335443,NA,-0.250403787,-3.975953564,-2510.5,24
"48",111,-18.4335443,NA,0.4995962132,-5.399866607,-2509.5,31.5
"49",116,-14.4335443,NA,-0.267613932,-0.929868462,-2508.5,31.5
"50",115,7.5664556962,NA,-8.915258859,3.9853955079,-2507.5,34
"51",124,35.428571429,NA,-16.20873712,10.939418527,-2506.5,32.5
"52",119,17.566455696,NA,-20.85457045,8.8918000592,-2505.5,38
"53",126,4.5664556962,NA,-13.79207045,0.8501333926,-2504.5,35.5
"54",147,5.5664556962,NA,-11.35457045,-0.016416086,-2503.5,35.5
"55",118,6.5664556962,NA,-11.54207045,-0.92764797,-2502.5,31.5
"56",138,6.5664556962,NA,-7.250403787,2.6117982046,-2501.5,34.5
"57",119,-6.523259597,NA,-8.354570453,5.5143412739,-2500.5,36
"58",100,14.566455696,NA,-10.06290379,8.6393412739,-2499.5,39.5
"59",119,-10.4335443,NA,-17.41707045,-2.027325393,-2498.5,40
"60",123,-26.4335443,NA,-9.067070453,-4.518914807,-2497.5,39
"61",125,-5.433544304,NA,-3.625403787,1.4394185268,-2496.5,41
"62",124,-9.433544304,NA,-4.70873712,-3.433082753,-2495.5,36.5
"63",113,6.0196078431,NA,-18.85457045,0.6477518601,-2494.5,38
"64",125,-11.4335443,NA,-10.64623712,3.9867982046,-2493.5,44
"65",108,34.566455696,NA,-15.19333857,5.581767786,-2492.5,48.5
