"","lon","lat","jul.day","bath","chl","chl.sw"
"1",-0.0018,60.01,148,120,1.5,1.01310159
"2",-0.002,60.423,267,110,0.9,1.2269706
"3",-0.0058,72.741,204,2739,0.4,0.3912244
"4",-0.0173,50.5817,110,44,0.48,1.75564028
"5",-0.0227,53.8537,212,4,0.4,2.06058918
"6",-0.0277,53.8565,212,4,0.6,2.06058918
"7",-0.0327,50.279,124,50,1.05,1.73376972
"8",-0.0671,55.4995,273,62,1.1,1.17489755
"9",-0.0704,50.6003,109,44,1.5,1.7480939
"10",-0.0707,53.6073,137,6,2.65,12.30268771
"11",-0.1377,53.6253,137,6,2.65,12.30268771
"12",-0.1465,74.9998,207,3495,0.3,1.01772026
"13",-0.169,50.4685,62,50,0.77,0.72083569
"14",-0.1768,64.2992,116,2646,0.3,0.70952889
"15",-0.181,53.658,137,6,2.6,12.30268771
"17",-0.2418,50.2427,125,50,1.14,1.57196939
"18",-0.249,58.3825,150,130,1.25,0.86853385
"19",-0.25,72.22,138,2126,0.86666667,0.65511199
"20",-0.254,58.383,269,130,1,1.48789141
"22",-0.2869,50.5596,255,44,1.01,1.60316264
"23",-0.295,63.3917,298,1937,0.2,0
"24",-0.3283,59.292,165,101,0.4,0.55085252
"25",-0.3292,59.298,347,101,0.1,0
"26",-0.33,60.4165,148,110,1.2,2.57565029
"27",-0.3315,59.2832,268,101,0.9,0.98266089
"28",-0.3325,59.2825,272,101,0.7,1.10454083
"29",-0.3328,60.01,267,120,1,1.0871
"30",-0.335,59.2808,148,101,1.5,0.77035169
"31",-0.335,60.01,148,120,1.6,1.29268946
"32",-0.336,60.836,147,117,1.05,0.95219091
"33",-0.3383,60.4152,267,110,1.05,1.19694684
"34",-0.3467,60.832,266,117,0.8,0.76085755
"35",-0.4,78,209,2955,0.685,2.11348904
"36",-0.4483,50.235,75,50,0.59,1.12640515
"37",-0.4592,59.7507,77,123,0.14,0.32909949
"38",-0.494,59.0152,77,99,0.19,0.3758374
"39",-0.4945,60.837,147,117,0.9,0.90797703
"40",-0.4962,60.425,148,110,1.25,1.28550409
"41",-0.4978,50.2021,124,50,0.86,1.24732134
"42",-0.4988,60.4157,267,110,1,1.16700679
"43",-0.4997,58.2998,150,130,1.5,0.74386514
"44",-0.5,72.37,138,2220,1.1,0.84733059
"45",-0.5,74.75,200,3495,0.07,0.8598962
"46",-0.502,60.8323,266,88,0.8,0.79453766
"47",-0.5033,58.315,269,123,0.9,1.88778649
"48",-0.5043,60.01,148,108,2.45,1.39363944
"49",-0.5083,60.01,267,108,0.9,0.83590196
"50",-0.5379,55.4984,273,65,2.8,1.02329299
