"","co2","c.month","month"
"1",NA,1,1
"2",NA,2,2
"3",NA,3,3
"4",NA,4,4
"5",NA,5,5
"6",313.21,6,6
"7",NA,7,7
"8",NA,8,8
"9",313.71,9,9
"10",NA,10,10
"11",NA,11,11
"12",314.31,12,12
"13",NA,13,1
"14",NA,14,2
"15",314.13,15,3
"16",NA,16,4
"17",NA,17,5
"18",314.36,18,6
"19",NA,19,7
"20",NA,20,8
"21",315.16,21,9
"22",NA,22,10
"23",NA,23,11
"24",NA,24,12
"25",314.93,25,1
"26",314.97,26,2
"27",314.92,27,3
"28",NA,28,4
"29",NA,29,5
"30",NA,30,6
"31",NA,31,7
"32",315.81,32,8
"33",316.06,33,9
"34",NA,34,10
"35",316.16,35,11
"36",NA,36,12
"37",NA,37,1
"38",NA,38,2
"39",NA,39,3
"40",NA,40,4
"41",NA,41,5
"42",316.22,42,6
"43",316.53,43,7
"44",316.59,44,8
"45",NA,45,9
"46",NA,46,10
"47",NA,47,11
"48",NA,48,12
"49",NA,49,1
"50",NA,50,2
"51",NA,51,3
"52",NA,52,4
"53",316.63,53,5
"54",316.7,54,6
"55",316.78,55,7
"56",317.19,56,8
"57",317.52,57,9
"58",317.57,58,10
"59",317.71,59,11
"60",317.51,60,12
"61",317.3,61,1
"62",317.1,62,2
"63",316.9,63,3
"64",316.95,64,4
"65",317.02,65,5
"66",317.09,66,6
"67",317.11,67,7
"68",317.48,68,8
"69",317.91,69,9
"70",NA,70,10
"71",NA,71,11
"72",318.47,72,12
"73",317.97,73,1
"74",317.71,74,2
"75",317.31,75,3
"76",317.74,76,4
"77",318.1,77,5
"78",318.06,78,6
"79",318.1,79,7
"80",318.47,80,8
"81",318.4,81,9
"82",318.85,82,10
"83",NA,83,11
"84",NA,84,12
"85",NA,85,1
"86",NA,86,2
"87",NA,87,3
"88",NA,88,4
"89",NA,89,5
"90",NA,90,6
"91",NA,91,7
"92",NA,92,8
"93",NA,93,9
"94",NA,94,10
"95",NA,95,11
"96",NA,96,12
"97",NA,97,1
"98",318.53,98,2
"99",318.4,99,3
"100",318.52,100,4
"101",318.73,101,5
"102",NA,102,6
"103",319.22,103,7
"104",319.51,104,8
"105",NA,105,9
"106",NA,106,10
"107",320.01,107,11
"108",320.11,108,12
"109",320.18,109,1
"110",319.84,110,2
"111",319.89,111,3
"112",320.15,112,4
"113",320.28,113,5
"114",320.29,114,6
"115",NA,115,7
"116",320.91,116,8
"117",321.19,117,9
"118",321.3,118,10
"119",321.4,119,11
"120",320.9,120,12
"121",NA,121,1
"122",320.85,122,2
"123",NA,123,3
"124",320.7,124,4
"125",320.84,125,5
"126",320.79,126,6
"127",320.9,127,7
"128",321.67,128,8
"129",321.91,129,9
"130",321.64,130,10
"131",321.66,131,11
"132",321.61,132,12
"133",321.37,133,1
"134",NA,134,2
"135",NA,135,3
"136",321.45,136,4
"137",321.31,137,5
"138",321.28,138,6
"139",321.34,139,7
"140",NA,140,8
"141",NA,141,9
"142",NA,142,10
"143",NA,143,11
"144",322.49,144,12
"145",322.2,145,1
"146",NA,146,2
"147",322.11,147,3
"148",322.13,148,4
"149",322.42,149,5
"150",322.63,150,6
"151",323.08,151,7
"152",323.43,152,8
"153",323.97,153,9
"154",323.79,154,10
"155",323.81,155,11
"156",NA,156,12
"157",NA,157,1
"158",323.37,158,2
"159",323.27,159,3
"160",323.51,160,4
"161",323.62,161,5
"162",324.01,162,6
"163",324.31,163,7
"164",324.55,164,8
"165",325.01,165,9
"166",325.03,166,10
"167",325.07,167,11
"168",NA,168,12
"169",324.64,169,1
"170",324.44,170,2
"171",324.15,171,3
"172",324.31,172,4
"173",324.51,173,5
"174",324.74,174,6
"175",324.99,175,7
"176",NA,176,8
"177",325.6,177,9
"178",NA,178,10
"179",325.58,179,11
"180",NA,180,12
"181",NA,181,1
"182",NA,182,2
"183",324.88,183,3
