"","lon","lat"
"1",NA,NA
"2",-9.258716,43
"42",-9.245944,43.098747
"83",-9.1066,43.145977
"124",-9.192847,43.178246
"165",-9.026808,43.224303
"206",-8.952883,43.260679
"247",-8.878664,43.32903
"288",-8.719079,43.307322
"329",-8.527225,43.335484
"370",-8.387295,43.395035
"411",-8.294595,43.410876
"452",-8.203069,43.353085
"493",-8.239151,43.431998
"534",-8.197788,43.476001
"575",-8.264087,43.487148
"616",-8.30633,43.55638
"657",-8.188401,43.620331
"698",-8.057565,43.662281
"739",-7.961932,43.732686
"757",-7.907954,43.776396
"758",NA,NA
"759",-7.907954,43.776396
"780",-7.850457,43.727112
"821",-7.848697,43.676655
"862",-7.780932,43.748234
"903",-7.682365,43.766715
"944",-7.616653,43.710978
"985",-7.493738,43.734739
"1026",-7.345301,43.659347
"1067",-7.24292,43.579848
"1108",-7.029945,43.566354
"1149",-7.01469,43.55726
"1190",-6.843078,43.578088
"1231",-6.656504,43.587475
"1272",-6.466998,43.583369
"1313",-6.276024,43.592463
"1354",-6.08769,43.585422
"1395",-5.917251,43.602437
"1436",-5.827192,43.670201
"1477",-5.700463,43.590116
"1518",-5.515063,43.569581
"1559",-5.411802,43.522644
"1600",-5.245763,43.527044
"1641",-5.061243,43.486855
"1682",-4.875843,43.46544
"1723",-4.679589,43.427597
"1764",-4.482748,43.400902
"1765",NA,NA
"1766",-4.482748,43.400902
"1805",-4.331671,43.409996
"1846",-4.151258,43.436398
"1887",-3.990793,43.458693
"1928",-3.852037,43.50563
"1969",-3.842356,43.456933
"2010",-3.756403,43.482455
"2051",-3.595058,43.536725
"2092",-3.429313,43.480401
"2133",-3.448088,43.442265
"2174",-3.246846,43.417623
"2215",-3.080221,43.376847
"2256",-3.008056,43.401195
"2297",-2.851111,43.451066
"2338",-2.707368,43.429944
"2379",-2.618188,43.413223
"2420",-2.438948,43.354552
"2461",-2.243868,43.322283
"2502",-2.085163,43.323163
"2543",-1.906804,43.341938
"2584",-1.791809,43.412343
"2593",-1.769514,43.395328
"2594",NA,NA
"2595",-1.7701,43.395915
"2625",-1.63105,43.424957
"2666",-1.507548,43.526164
"2707",-1.44477,43.680175
"2748",-1.400181,43.846801
"2789",-1.354124,44.014013
"2830",-1.310121,44.184158
"2871",-1.274918,44.357531
"2912",-1.249396,44.52797
"2953",-1.189845,44.662913
"2994",-1.051675,44.690781
"3035",-1.177818,44.771747
"3076",-1.24881,44.633871
"3117",-1.244116,44.782601
