"","Grouse.Density","Consumption.Rate"
"3",11,0
"4",12,0
"5",28,0
"6",28,0.04
"7",28,0.1025
"8",34,0
"9",34,0.0175
"10",34,0.0225
"11",34,0.035
"12",34,0.04
"13",46,0.06
"14",46,0.08
"15",46,0.09
"16",46,0.1475
"17",49,0.035
"18",49,0.04
"19",49,0.0625
"20",49,0.1175
"21",49,0.1775
"22",61,0.0375
"23",61,0.1225
"24",61,0.1475
"25",61,0.165
"26",61,0.175
"27",61,0.1925
"28",63,0.04
"29",63,0.1275
"30",63,0.1325
"31",63,0.15
"32",63,0.1525
"33",63,0.165
"34",63,0.1725
"35",69,0.1225
"36",69,0.2025
"37",69,0.3725
"38",124,0.11
"39",124,0.3175
