"","n.ipo","ir","dp","reg.t","t","month"
"1",30,13.5,-5.277,32.97,1,1
"2",26,19.6,-0.5,29.09,2,2
"3",39,29.3,-0.985,42.06,3,3
"4",40,7,-1.397,41.47,4,4
"5",40,23.2,0.447,43.72,5,5
"6",40,14.6,-1.448,37.38,6,6
"7",45,14.4,-3.521,30.39,7,7
"8",46,4.9,0.535,42.89,8,8
"9",44,14.9,-4.446,42.5,9,9
"10",65,3.6,-10.43,38.35,10,10
"11",49,7.8,-5.886,19.02,11,11
"12",43,5.6,-0.253,37.15,12,12
"13",37,4.7,-3.217,61.19,13,1
"14",52,11.9,-1.086,30.29,14,2
"15",71,24.8,8.18,25.96,15,3
"16",48,16.3,4.191,29.42,16,4
"17",88,14.1,1.279,27.08,17,5
"18",122,10.9,-1.084,25.02,18,6
"19",95,8.8,-2.301,35.72,19,7
"20",92,8.2,-5.898,25.39,20,8
"21",67,16.8,-6.358,42.27,21,9
"22",86,3.9,-13.06,26,22,10
"23",90,6.7,-6.813,26.04,23,11
"24",105,3.3,-6.18,24.58,24,12
"25",38,15.3,-7.354,30.74,25,1
"26",58,10.8,0.696,38.89,26,2
"27",73,14.6,0.919,33.15,27,3
"28",57,9.4,0.11,41.43,28,4
"29",51,7.5,-0.983,42.78,29,5
"30",80,9.7,-2.675,40.88,30,6
"31",84,13.9,-5.442,39.06,31,7
"32",63,9.2,-7.476,38.67,32,8
"33",60,8.5,-3.333,63.87,33,9
"34",38,4.9,-5.797,623.78,34,10
"35",21,11.6,-8.172,32.12,35,11
"36",7,4.2,-0.5,57.23,36,12
"37",12,5.6,1.347,10.86,37,1
"38",14,17.1,-4.901,26.5,38,2
"39",19,4.7,-0.801,38.59,39,3
"40",19,12.3,-2.605,36.9,40,4
"41",24,8.6,-4.264,35.95,41,5
"42",26,15.8,-0.999,45.81,42,6
"43",24,7,-1.439,35.81,43,7
"44",20,6.8,0.778,46.8,44,8
"45",11,7.6,-15.291,33.47,45,9
"46",25,14.9,-8.297,61.02,46,10
"47",13,6.9,-10.102,67.9,47,11
"48",20,6.7,-10.582,68.34,48,12
"49",8,5.6,-9.449,31.84,49,1
"50",13,17.1,-8.049,49.58,50,2
"51",11,29.6,2.484,75.09,51,3
"52",12,15.5,1.981,43.83,52,4
"53",24,16.3,1.733,65.88,53,5
"54",17,6.2,3.328,41.41,54,6
"55",18,3.1,-1.313,33.6,55,7
"56",15,31.9,3.2,72.45,56,8
"57",13,14.3,2.253,54.27,57,9
"58",17,13.7,7.102,53.59,58,10
"59",31,8.5,-4.141,79.04,59,11
"60",25,2.6,-8.4,58.97,60,12
"61",12,18.1,-4.817,53.64,61,1
"62",13,17.9,5.251,48.21,62,2
"63",19,20.3,-1.829,51.33,63,3
"64",22,8.5,0.693,43.57,64,4
"65",19,26.2,-13.541,51.01,65,5
