"","egg.count","egg.dens","b.depth","lat","lon","time","salinity","flow","s.depth","temp.surf","temp.20m","net.area","country","vessel","vessel.haul","c.dist"
"1",0,0,4342,44.57,-4.65,8.23,35.72,417,104,15,15,0.242,"SP","COSA",22,0.839514117719475
"2",0,0,4334,44.57,-4.48,9.68,35.74,405,98,15.4,15.4,0.242,"SP","COSA",23,0.85919263359767
"3",0,0,4286,44.57,-4.3,10.9,35.74,377,101,15.9,15.9,0.242,"SP","COSA",24,0.893015289537923
"4",1,18.26,1438,44.02,-2.87,19.33,35.68,420,98,16.6,16.6,0.242,"SP","COSA",93,0.395640869100006
"5",4,90.16,166,44.02,-2.07,8.78,NA,354,101,16.7,16.7,0.242,"SP","COSA",178,0.040008823727421
"6",3,62.93,460,44.02,-2.13,9.42,35.17,373,100,16.6,16.6,0.242,"SP","COSA",179,0.097423446300949
"7",0,0,810,44.02,-2.27,10.53,NA,375,100,17.1,17.1,0.242,"SP","COSA",181,0.236256656916062
"8",1,23,887,44.02,-2.35,11,35.26,364,102,17.1,17.1,0.242,"SP","COSA",182,0.316052431398896
"9",0,0,946,44.02,-2.42,11.42,NA,375,100,17.3,17.3,0.242,"SP","COSA",183,0.385943103860082
"10",0,0,1012,44.02,-2.48,12,NA,362,100,16.9,16.9,0.242,"SP","COSA",184,0.425422376174886
"11",0,0,1011,44.12,-2.48,13.27,35.41,379,101,16.1,16.1,0.242,"SP","COSA",185,0.461203178403134
"12",0,0,969,44.12,-2.33,14.67,35.09,322,103,17.4,17.4,0.242,"SP","COSA",186,0.318548345370846
"13",0,0,929,44.12,-2.27,15.18,35.04,406,96,17.3,17.3,0.242,"SP","COSA",187,0.262246581594404
"14",2,36.35,847,44.12,-2.2,15.75,NA,416,93,17,17,0.242,"SP","COSA",188,0.196561190521889
"15",0,0,704,44.12,-2.13,16.27,NA,398,95,17.1,17.1,0.242,"SP","COSA",189,0.130875799449373
"16",1,19.3,266,44.12,-2.07,16.9,35.05,409,98,16.9,16.9,0.242,"SP","COSA",190,0.074574035672931
"17",3,58.71,181,44.37,-2.07,5.67,NA,411,98,17.1,17.1,0.242,"SP","COSA",228,0.073706918261542
"18",1,19.16,467,44.37,-2.13,6.25,35.13,432,99,17.3,17.3,0.242,"SP","COSA",229,0.130851142479195
"19",0,0,696,44.37,-2.2,7.17,NA,441,99,17.1,17.1,0.242,"SP","COSA",230,0.197996722754097
"20",0,0,1012,44.37,-2.35,8.08,35.6,440,96,17.1,17.1,0.242,"SP","COSA",231,0.345487318336187
"21",0,0,1335,44.62,-2.35,10.83,35.68,487,95,16.9,16.9,0.242,"SP","COSA",232,0.3423067093
"22",0,0,922,44.62,-2.27,16.42,NA,431,101,17.5,17.5,0.242,"SP","COSA",236,0.2623067093
"23",0,0,606,44.62,-2.18,17.17,NA,392,100,17.7,17.7,0.242,"SP","COSA",237,0.1723067093
"24",0,0,539,44.62,-2.13,17.68,35.56,418,101,17.7,17.7,0.242,"SP","COSA",238,0.1223067093
"25",2,42.46,883,44.62,-2.07,18.33,NA,409,101,17.6,17.6,0.242,"SP","COSA",239,0.0623067093
"26",1,21.26,135,44.87,-2.07,8.58,35.41,405,102,17.4,17.4,0.242,"SP","COSA",262,0.0268741383953232
"27",0,0,147,44.88,-2.13,9.25,NA,375,102,17.6,17.6,0.242,"SP","COSA",263,0.0395908028402403
"28",0,0,268,44.87,-2.2,9.75,35.64,368,103,17.3,17.3,0.242,"SP","COSA",264,0.0806910853741142
"29",1,19.81,783,44.87,-2.27,10.25,NA,435,105,17.1,17.1,0.242,"SP","COSA",265,0.130425685221752
"30",0,0,1892,44.87,-2.35,10.75,35.65,407,100,17.2,17.2,0.242,"SP","COSA",266,0.193702968228605
"31",0,0,2034,44.87,-2.42,11.58,NA,398,101,17.3,17.3,0.242,"SP","COSA",267,0.22996459794321
"32",0,0,2580,44.87,-2.48,12.08,NA,413,101,17.3,17.3,0.242,"SP","COSA",268,0.249296155946874
"33",0,0,2709,44.87,-2.55,12.58,35.54,399,101,17.1,17.1,0.242,"SP","COSA",269,0.27137699903576
"34",0,0,2681,44.87,-2.62,13.33,NA,386,104,17.3,17.3,0.242,"SP","COSA",270,0.282334473822811
"35",0,0,2879,44.87,-2.7,13.92,NA,413,104,17.2,17.2,0.242,"SP","COSA",271,0.311043344952289
"36",0,0,2852,44.87,-2.77,14.4,35.68,410,101,17.7,17.7,0.242,"SP","COSA",272,0.319918832599355
"37",0,0,3158,44.87,-2.83,14.95,NA,404,101,17.4,17.4,0.242,"SP","COSA",273,0.323918807801555
