"","lon","lat","b.depth","area.index","c.dist","salinity","temp.surf","temp.20m"
"1",-3,44,1780,49,0.375640869100003,35.8332331629626,16.5727288503643,16.492307308753
"4",-2.75,44,1431,50,0.377873889716706,35.5817868735505,16.7744209628578,16.7091828025596
"7",-2.5,44,1013,51,0.403828691429142,35.3385660193772,17.0369775932494,17.0342118127567
"10",-2.25,44,683,52,0.2154495716,35.1777721343781,16.9715602608748,16.9677795477119
"13",-2,44,202,53,0.0325896097341978,34.9963112804347,16.9423211800581,16.8857974446218
"16",-1.75,44,115,54,0.212903610458486,34.8518616271567,17.3034592190163,17.2430388093607
"19",-1.5,44,47,55,0.265693664600001,34.720258532979,17.6974456973002,17.6412318292124
"58",-3,44.25,1720,106,0.625640869100003,35.817548956112,16.6489616591414,16.6523936646665
"61",-2.75,44.25,1442,107,0.626984139416329,35.4966245407256,16.6789948914291,16.6747607488656
"64",-2.5,44.25,1169,108,0.519821265363886,35.2674486832367,16.797652753567,16.8063482630521
"67",-2.25,44.25,733,109,0.281641564830179,35.1883276731416,16.9595344679261,16.9931173666732
"70",-2,44.25,202,110,0.0449127740351976,35.0463998042369,17.2335685165591,17.2401411301257
"73",-1.75,44.25,94,111,0.204136107994362,34.8827049890332,17.6848872290884,17.6627400669019
"76",-1.5,44.25,68,112,0.454049949110322,34.7146264410462,18.0839457218988,18.0493985070483
"115",-5,44.5,4560,155,0.658065159669072,35.7381476786941,14.7942970528458,14.6178557485334
"118",-4.75,44.5,4147,156,0.738585879171575,35.7385580622159,15.033348779361,14.9117701990049
"121",-4.5,44.5,4338,157,0.787841755447438,35.7360798647376,15.3386866010781,15.325130322567
"124",-4.25,44.5,3763,158,0.842879599148022,35.7667854809493,15.7331493036705,15.8195846047103
"127",-4,44.5,4252,159,0.853555064878722,35.8358015315914,16.1843153970615,16.2691662080281
"130",-3.75,44.5,3994,160,0.817536961195336,35.894377406179,16.5561713121635,16.6081819986875
"133",-3.5,44.5,3876,161,0.816250263037382,35.9109174951228,16.7862406359368,16.8109571065921
"136",-3.25,44.5,2676,162,0.791942375625407,35.8623892397769,16.8981273974067,16.9189177025865
"139",-3,44.5,1855,163,0.720833339464525,35.7223368672324,16.9335017844309,16.971687812729
"142",-2.75,44.5,1736,164,0.673917777470517,35.4976594187043,16.8402720677958,16.8537119026038
"145",-2.5,44.5,1512,165,0.48400089491161,35.4602723781247,16.742281648942,16.7059237363877
"148",-2.25,44.5,795,166,0.234690650059263,35.4727874847356,17.1132419869018,17.1045451220453
"151",-2,44.5,201,167,0.00340755812536119,35.261633766576,17.7316032516522,17.7500598093169
"154",-1.75,44.5,102,168,0.239885648150555,34.9533263674905,18.2258192779963,18.2227441141462
"157",-1.5,44.5,72,169,0.479508668162655,34.7032339313898,18.556008238608,18.5345417532031
"244",-5,44.75,4663,212,0.898345542365438,35.7119514221925,14.876378280999,14.74788583141
"247",-4.75,44.75,4538,213,0.974692323850508,35.7104019561441,15.1129220367653,15.0441684237622
"250",-4.5,44.75,4483,214,1.03738497086496,35.710924454883,15.4647288187928,15.4810659420859
"253",-4.25,44.75,4380,215,1.07980514041956,35.7414138564975,15.9532668339302,16.037226508424
"256",-4,44.75,4236,216,1.06416872503987,35.8033590442358,16.5013138662525,16.5739066381334
"259",-3.75,44.75,4001,217,0.879765320754903,35.8522523923347,16.9220760824913,16.9537071451533
"262",-3.5,44.75,3809,218,0.726770668238993,35.8516422503535,17.1193220675411,17.1190215924717
"265",-3.25,44.75,3239,219,0.569785781855695,35.7730575776582,17.1753543157752,17.1620786900872
"268",-3,44.75,3076,220,0.47597094662859,35.6351879800837,17.2553048807711,17.2489654667837
"271",-2.75,44.75,2984,221,0.434767146285351,35.5732642382866,17.1637296893384,17.1672905505655
"274",-2.5,44.75,2375,222,0.368763975336377,35.6023189848144,16.8431464427998,16.824668998322
"277",-2.25,44.75,1126,223,0.206814038685139,35.6142696455962,17.2086950777343,17.1937000550361
"280",-2,44.75,175,224,0.0223053127914193,35.3698564113091,18.1164277547512,18.1201807087105
"283",-1.75,44.75,99,225,0.196091480273624,34.9103395441715,18.7262652810468,18.7163560059757
