"","ID","DT","la","lo","count","vol","country","ship","T.surf","T.20","T.50","T.100","period","d","gear.sub","gear","opening","wind","T1.surf","T1.20","T1.50","T1.100","Sal20","b.depth"
"108853",8225971,"2010-03-30 09:31:00.000",53.23,-10.25,2,151.1,"GERMANY","06NI",8.36,8.37,8.51,"","2","","NH","NACKTHAI","20","0",8.36,8.37,8.51,"",34.87,102
"108868",8225980,"2010-03-30 17:32:00.000",53.75,-11.2,912,195.3,"GERMANY","06NI",10.1,10.1,10.11,"10.13","2","","NH","NACKTHAI","20","0",10.1,10.1,10.11,"10.13",35.54,189
"108899",8225989,"2010-03-30 22:31:00.000",53.72,-12.2,743,383.3,"GERMANY","06NI",10.24,10.25,10.25,"10.26","2","","NH","NACKTHAI","20","0",10.24,10.25,10.25,"10.26",35.54,323
"108974",8226034,"2010-04-01 04:45:00.000",54.25,-11.32,976,310.2,"GERMANY","06NI",10.22,10.22,10.23,"10.2","2","","NH","NACKTHAI","20","0",10.22,10.22,10.23,"10.2",35.53,383
"109020",8226052,"2010-04-02 01:17:00.000",55.25,-9.79,288,198.4,"GERMANY","06NI",9.95,9.91,9.92,"9.86","2","","NH","NACKTHAI","20","0",9.95,9.91,9.92,"9.86",35.52,146
"109179",8226106,"2010-04-03 14:28:00.000",57.25,-9.68,2,281.8,"GERMANY","06NI",9.96,9.96,9.95,"9.96","2","","NH","NACKTHAI","20","0",9.96,9.96,9.95,"9.96",35.51,1870
"109346",8226133,"2010-04-06 03:58:00.000",55.79,-8.26,4,58.2,"GERMANY","06NI",8.75,8.74,8.82,"9.02","2","","NH","NACKTHAI","20","0",8.75,8.74,8.82,"9.02",35.28,123
"109406",8226160,"2010-04-06 17:24:00.000",55.73,-10.69,3,305,"GERMANY","06NI",10.03,10.03,9.99,"10","2","","NH","NACKTHAI","20","0",10.03,10.03,9.99,"10",35.51,2470
"109698",8226196,"2010-04-07 16:04:00.000",54.75,-10.82,61,320.6,"GERMANY","06NI",10.28,10.27,10.26,"10.26","2","","NH","NACKTHAI","20","0",10.28,10.27,10.26,"10.26",35.53,1908
"109774",8226223,"2010-04-08 09:32:00.000",53.25,-11.67,111,107.8,"GERMANY","06NI",10.18,10.17,10.17,"10.15","2","","NH","NACKTHAI","20","0",10.18,10.17,10.17,"10.15",35.56,168
"109804",8226241,"2010-04-08 17:50:00.000",53.27,-13.14,897,241.5,"GERMANY","06NI",10.3,10.29,10.25,"10.23","2","","NH","NACKTHAI","20","0",10.3,10.29,10.25,"10.23",35.55,257
"109895",8226277,"2010-03-09 05:41:00.000",49.75,-11.73,465,150.9,"IRELAND","45CE",11.42,11.43,11.44,"11.45","2","","G7","Gulf7","20","0",11.42,11.43,11.44,"11.45",35.543,1055
"109940",8226304,"2010-03-11 00:19:00.000",48.75,-15.27,2,146,"IRELAND","45CE",11.36,11.37,11.38,"11.38","2","","G7","Gulf7","20","0",11.36,11.37,11.38,"11.38",35.525,4802
"109957",8226313,"2010-03-11 18:19:00.000",48.75,-11.77,43,158.6,"IRELAND","45CE",11.36,11.35,11.36,"11.37","2","","G7","Gulf7","20","0",11.36,11.35,11.36,"11.37",35.557,2310
"110203",8226367,"2010-03-13 03:04:00.000",48.75,-6.78,52,107.1,"IRELAND","45CE",10.17,10.17,10.18,"10.2","2","","G7","Gulf7","20","0",10.17,10.17,10.18,"10.2",35.484,134
"110233",8226385,"2010-03-14 04:45:00.000",50.25,-9.23,3,100.8,"IRELAND","45CE",9.62,9.62,9.6,"9.6","2","","G7","Gulf7","20","0",9.62,9.62,9.6,"9.6",35.29,123
"110323",8226421,"2010-03-15 04:01:00.000",50.25,-13.74,4,126.1,"IRELAND","45CE",11.26,11.27,11.27,"11.24","2","","G7","Gulf7","20","0",11.26,11.27,11.27,"11.24",35.551,3167
"110450",8226457,"2010-03-28 03:26:00.000",51.25,-11.28,919,153.22,"IRELAND","45CV",11,11,10.95,"10.9","2","","G7","Gulf7","20","0",11,11,10.95,"10.9",35.031,207
"110632",8226540,"2010-03-26 16:28:00.000",51.25,-6.72,1,60.41,"IRELAND","45CV",8.74,8.67,8.6,"","2","","G7","Gulf7","20","0",8.74,8.67,8.6,"",34.498,85
"110739",8226582,"2010-03-25 00:44:00.000",46.25,-2.75,1,69.32920695,"SPAIN","29IN",10.88,10.82,10.48,"","2","","B","Bgn","40","0",10.88,10.82,10.48,"",35.59,101
"111043",8226586,"2010-04-10 19:11:00.000",47.75,-7.25,1,162.0525098,"SPAIN","29IN",11.6,11.4,11.1,"11","2","","B","Bgn","40","0",11.6,11.4,11.1,"11",35.8,174
"111220",8226568,"2010-04-01 13:35:00.000",46.25,-4.75,1,188.3011447,"SPAIN","29IN",11.8,11.6,11.7,"11.7","2","","B","Bgn","40","0",11.8,11.6,11.7,"11.7",35.8,1628
"111668",8226578,"2010-04-10 13:06:00.000",47.75,-6.25,2,146.1064641,"SPAIN","29IN",11.37,11.23,11.03,"11.04","2","","B","Bgn","40","0",11.37,11.23,11.03,"11.04",35.79,152
"111743",8226550,"2010-03-31 21:11:00.000",47.25,-4.25,1,73.10244822,"SPAIN","29IN",10.1,10.1,9.9,"10.1","2","","B","Bgn","40","0",10.1,10.1,9.9,"10.1",35.3,112
"111758",8226551,"2010-04-01 00:00:00.000",47.25,-4.75,4,91.01714155,"SPAIN","29IN",10.7,10.7,10.7,"10.7","2","","B","Bgn","40","0",10.7,10.7,10.7,"10.7",35.7,124
"111979",8226554,"2010-04-01 04:20:00.000",46.75,-4.75,23,173.2081796,"SPAIN","29IN",11.4,11.4,11.4,"11.4","2","","B","Bgn","40","0",11.4,11.4,11.4,"11.4",35.8,161
"112467",8226536,"2010-03-26 08:22:00.000",50.75,-7.78,3,77.17,"IRELAND","45CV",8.87,8.87,8.82,"8.72","2","","G7","Gulf7","20","0",8.87,8.87,8.82,"8.72",34.633,105
"112512",8226538,"2010-03-26 11:41:00.000",50.75,-7.29,6,68.4,"IRELAND","45CV",8.89,8.89,8.76,"","2","","G7","Gulf7","20","0",8.89,8.89,8.76,"",34.645,108
"112542",8226563,"2010-04-01 10:42:00.000",46.25,-4.25,165,169.5333707,"SPAIN","29IN",11.6,11.6,11.6,"11.6","2","","B","Bgn","40","0",11.6,11.6,11.6,"11.6",35.8,261
"112557",8226541,"2010-03-24 16:20:00.000",46.25,-3.75,19,139.6,"SPAIN","29IN",12.04,11.85,11.6,"11.43","2","","B","Bgn","40","0",12.04,11.85,11.6,"11.43",35.73,139
