"","ID","DT","la","lo","count","vol","country","ship","T.surf","T.20","T.50","T.100","period","d","gear.sub","gear","opening","wind","T1.surf","T1.20","T1.50","T1.100","Sal20"
"1",8230180,"2010-03-28 12:41:00.000",51.75,-13.68,1,321.4,"GERMANY","06NI",11.2,11.16,11.07,"10.97","2","","NH","NACKTHAI","20","0",11.2,11.16,11.07,"10.97",35.63
"2",8230181,"2010-03-28 14:49:00.000",51.75,-14.18,3,294.9,"GERMANY","06NI",10.83,10.8,10.77,"10.82","2","","NH","NACKTHAI","20","0",10.83,10.8,10.77,"10.82",35.58
"3",8230182,"2010-03-12 06:41:00.000",48.75,-10.77,4,142.6,"IRELAND","45CE",11.24,11.25,11.24,"11.25","2","","G7","Gulf7","20","0",11.24,11.25,11.24,"11.25",35.564
"4",8230183,"2010-03-12 12:50:00.000",48.75,-9.76,6,124.8,"IRELAND","45CE",11.14,11.12,11.12,"11.13","2","","G7","Gulf7","20","0",11.14,11.12,11.12,"11.13",35.553
"5",8230184,"2010-03-12 14:45:00.000",48.75,-9.27,3,110.1,"IRELAND","45CE",10.96,10.93,10.91,"10.92","2","","G7","Gulf7","20","0",10.96,10.93,10.91,"10.92",35.534
"6",8230185,"2010-03-12 16:42:00.000",48.75,-8.78,7,117,"IRELAND","45CE",10.71,10.71,10.69,"10.69","2","","G7","Gulf7","20","0",10.71,10.71,10.69,"10.69",35.524
"7",8230186,"2010-03-12 22:59:00.000",48.75,-7.77,6,130.5,"IRELAND","45CE",10.31,10.3,10.31,"10.32","2","","G7","Gulf7","20","0",10.31,10.3,10.31,"10.32",35.467
"8",8230187,"2010-03-13 01:05:00.000",48.75,-7.28,1,104.6,"IRELAND","45CE",10.02,10.03,10.03,"10.04","2","","G7","Gulf7","20","0",10.02,10.03,10.03,"10.04",35.423
"9",8230188,"2010-03-13 18:24:00.000",50.25,-6.81,4,67,"IRELAND","45CE",9.26,9.25,9.24,"9.25","2","","G7","Gulf7","20","0",9.26,9.25,9.24,"9.25",35.312
"10",8230189,"2010-03-14 13:49:00.000",50.25,-10.73,7,155.9,"IRELAND","45CE",10.99,11,10.99,"10.91","2","","G7","Gulf7","20","0",10.99,11,10.99,"10.91",35.54
"11",8230190,"2010-03-14 16:16:00.000",50.25,-11.22,4,144.5,"IRELAND","45CE",11.36,11.3,11.28,"11.26","2","","G7","Gulf7","20","0",11.36,11.3,11.28,"11.26",35.578
"12",8230191,"2010-03-14 18:34:00.000",50.25,-11.72,1,138.3,"IRELAND","45CE",11.43,11.39,11.37,"11.36","2","","G7","Gulf7","20","0",11.43,11.39,11.37,"11.36",35.568
"13",8230192,"2010-03-09 01:02:00.000",49.75,-10.73,2,108.3,"IRELAND","45CE",10.85,10.88,10.86,"10.87","2","","G7","Gulf7","20","0",10.85,10.88,10.86,"10.87",35.533
"14",8230193,"2010-03-27 11:11:00.000",50.76,-10.71,2,75.01,"IRELAND","45CV",10.76,10.74,10.69,"10.46","2","","G7","Gulf7","20","0",10.76,10.74,10.69,"10.46",34.987
"15",8230194,"2010-03-27 15:06:00.000",50.25,-10.73,10,128.29,"IRELAND","45CV",11.22,11.11,11.1,"10.99","2","","G7","Gulf7","20","0",11.22,11.11,11.1,"10.99",35.142
