"","id.num","order","days","log.size","ozone"
"1",1,1,152,4.51,1
"2",1,2,174,4.98,1
"3",1,3,201,5.41,1
"4",1,4,227,5.9,1
"5",1,5,258,6.15,1
"6",1,6,469,6.16,1
"7",1,7,528,6.18,1
"8",1,8,556,6.48,1
"9",1,9,579,6.65,1
"10",1,10,613,6.87,1
"11",1,11,639,6.95,1
"12",1,12,674,6.99,1
"13",1,13,674,7.04,1
"14",2,1,152,4.24,1
"15",2,2,174,4.2,1
"16",2,3,201,4.68,1
"17",2,4,227,4.92,1
"18",2,5,258,4.96,1
"19",2,6,469,5.2,1
"20",2,7,528,5.22,1
"21",2,8,556,5.39,1
"22",2,9,579,5.65,1
"23",2,10,613,5.71,1
"24",2,11,639,5.78,1
"25",2,12,674,5.82,1
"26",2,13,674,5.85,1
"27",3,1,152,3.98,1
"28",3,2,174,4.36,1
"29",3,3,201,4.79,1
"30",3,4,227,4.99,1
"31",3,5,258,5.03,1
"32",3,6,469,5.87,1
"33",3,7,528,5.88,1
"34",3,8,556,6.04,1
"35",3,9,579,6.34,1
"36",3,10,613,6.49,1
"37",3,11,639,6.58,1
"38",3,12,674,6.65,1
"39",3,13,674,6.61,1
"40",4,1,152,4.36,1
"41",4,2,174,4.77,1
"42",4,3,201,5.1,1
"43",4,4,227,5.3,1
"44",4,5,258,5.36,1
"45",4,6,469,5.53,1
"46",4,7,528,5.56,1
"47",4,8,556,5.68,1
"48",4,9,579,5.93,1
"49",4,10,613,6.21,1
"50",4,11,639,6.26,1
"51",4,12,674,6.2,1
"52",4,13,674,6.19,1
"53",5,1,152,4.34,1
"54",5,2,174,4.95,1
"55",5,3,201,5.42,1
"56",5,4,227,5.97,1
"57",5,5,258,6.28,1
"58",5,6,469,6.5,1
"59",5,7,528,6.5,1
"60",5,8,556,6.79,1
"61",5,9,579,6.83,1
"62",5,10,613,7.1,1
"63",5,11,639,7.17,1
"64",5,12,674,7.21,1
"65",5,13,674,7.16,1
"66",6,1,152,4.59,1
"67",6,2,174,5.08,1
"68",6,3,201,5.36,1
"69",6,4,227,5.76,1
"70",6,5,258,6,1
"71",6,6,469,6.33,1
"72",6,7,528,6.34,1
"73",6,8,556,6.39,1
"74",6,9,579,6.78,1
"75",6,10,613,6.91,1
"76",6,11,639,6.99,1
"77",6,12,674,7.01,1
"78",6,13,674,7.05,1
"79",7,1,152,4.41,1
"80",7,2,174,4.56,1
"81",7,3,201,4.95,1
"82",7,4,227,5.23,1
"83",7,5,258,5.33,1
"84",7,6,469,6.13,1
"85",7,7,528,6.14,1
"86",7,8,556,6.36,1
"87",7,9,579,6.57,1
"88",7,10,613,6.78,1
"89",7,11,639,6.82,1
"90",7,12,674,6.81,1
"91",7,13,674,6.86,1
"92",8,1,152,4.24,1
"93",8,2,174,4.64,1
"94",8,3,201,4.95,1
"95",8,4,227,5.38,1
"96",8,5,258,5.48,1
"97",8,6,469,5.61,1
"98",8,7,528,5.63,1
"99",8,8,556,5.82,1
"100",8,9,579,6.18,1
"101",8,10,613,6.42,1
"102",8,11,639,6.48,1
"103",8,12,674,6.47,1
"104",8,13,674,6.46,1
"105",9,1,152,4.82,1
"106",9,2,174,5.17,1
"107",9,3,201,5.76,1
"108",9,4,227,6.12,1
"109",9,5,258,6.24,1
"110",9,6,469,6.48,1
"111",9,7,528,6.5,1
"112",9,8,556,6.77,1
"113",9,9,579,7.14,1
"114",9,10,613,7.26,1
"115",9,11,639,7.3,1
"116",9,12,674,6.91,1
"117",9,13,674,7.28,1
"118",10,1,152,3.84,1
"119",10,2,174,4.17,1
"120",10,3,201,4.67,1
"121",10,4,227,4.67,1
"122",10,5,258,4.8,1
"123",10,6,469,4.94,1
"124",10,7,528,4.94,1
"125",10,8,556,5.05,1
"126",10,9,579,5.33,1
"127",10,10,613,5.53,1
"128",10,11,639,5.56,1
"129",10,12,674,5.57,1
"130",10,13,674,5.6,1
"131",11,1,152,4.07,1
"132",11,2,174,4.31,1
"133",11,3,201,4.9,1
"134",11,4,227,5.1,1
"135",11,5,258,5.1,1
"136",11,6,469,5.26,1
"137",11,7,528,5.26,1
"138",11,8,556,5.38,1
"139",11,9,579,5.66,1
"140",11,10,613,5.81,1
"141",11,11,639,5.84,1
"142",11,12,674,5.93,1
"143",11,13,674,5.89,1
"144",12,1,152,4.28,1
"145",12,2,174,4.8,1
"146",12,3,201,5.27,1
"147",12,4,227,5.55,1
"148",12,5,258,5.65,1
"149",12,6,469,5.76,1
