"","year","exra","nao","location","code","elevation","climate.region","N","E"
"1",1984,43.4,2.17,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"2",1985,41.5,-3.09,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"3",1986,46.4,3.14,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"4",1987,43.4,-3.01,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"5",1988,41.8,-0.13,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"6",1989,40.9,2.38,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"7",1990,52.5,3.88,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"8",1991,42.8,1.14,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"9",1992,37.6,2.54,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"10",1993,39.8,1.71,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"11",1994,33.8,2.86,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"12",1995,40.6,-1.11,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"13",1996,38.9,-1.98,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"14",1997,60.7,-0.93,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"15",1998,33.6,1.03,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"16",1999,49.6,2.25,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"17",2000,35.9,1.18,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"18",2001,62.7,-1.91,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"19",2002,49.2,1,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"20",2003,49.1,-0.09,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"21",2004,48.6,0.7,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"22",2005,49.7,-1.35,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"23",2006,36,-0.2,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"24",2007,59,1.35,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"25",2008,31,1.72,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"26",2009,36.5,0.72,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"27",2010,36.3,-5.96,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"28",2011,56.3,2.95,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"29",2012,49.6,-0.25,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"30",2013,36.6,0.9,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
