"","year","price","h.rain","s.temp","w.rain","h.temp","parker"
"1",1952,37,160,17.1,600,14.3,NA
"2",1953,63,80,16.7,690,17.3,NA
"3",1954,12,180,15.4,430,16.8,NA
"4",1955,45,130,17.1,502,16.8,NA
"5",1956,15,140,15.6,440,17.2,NA
"6",1957,22,110,16.1,420,16.2,NA
"7",1958,18,187,16.4,582,19.1,NA
"8",1959,66,187,17.5,485,18.7,NA
"9",1960,14,290,16.4,763,15.8,NA
"10",1961,100,38,17.3,830,20.4,NA
"11",1962,33,52,16.3,697,17.2,NA
"12",1963,17,155,15.7,608,16.2,NA
"13",1964,31,96,17.3,402,18.8,NA
"14",1965,11,267,15.4,602,14.8,NA
"15",1966,47,86,16.5,819,18.4,NA
"16",1967,19,118,16.2,714,16.5,NA
"17",1968,11,292,16.2,610,16.4,NA
"18",1969,12,244,16.5,575,16.6,NA
"19",1970,40,89,16.7,622,18,86.8
"20",1971,27,112,16.8,551,16.9,84.2
"21",1972,10,158,15,536,14.6,65
"22",1973,16,123,17.1,376,17.9,65
"23",1974,11,184,16.3,574,16.2,65
"24",1975,30,171,16.9,572,17.2,87
"25",1976,25,247,17.6,418,16.1,79.2
"26",1977,11,87,15.6,821,16.8,65
"27",1978,27,51,15.8,763,17.4,86
"28",1979,21,122,16.2,717,17.3,86
"29",1980,14,74,16,578,18.4,77.2
"30",1981,17,111,17,535,18,83.8
"31",1982,37,162,17.4,712,18.5,92.4
"32",1983,17,119,17.4,845,17.9,89.8
"33",1984,11,119,16.5,591,16,65
"34",1985,18,38,16.8,744,18.9,88.2
"35",1986,21,171,16.3,563,17.5,89.6
"36",1987,15,115,17,452,18.9,80.2
"37",1988,17,59,17.1,808,16.8,87.6
"38",1989,23,82,18.6,443,18.4,89.8
"39",1990,NA,80,18.7,468,19.3,94.4
"40",1991,NA,183,17.7,570,20.4,68
"41",1992,NA,342,17.9,543,17.3,77.2
"42",1993,NA,279,17.5,574,16.7,82.4
"43",1994,NA,220,18.1,838,17.1,86.6
"44",1995,NA,169,18.3,588,16.3,89.8
"45",1996,NA,256,17.8,684,16.6,88.4
"46",1997,NA,133,19.1,479,20,85
"47",1998,NA,197,18.3,897,18.9,91.8
