animal,sire,dam,generation,y
1,NA,NA,1,NA
2,NA,NA,1,NA
3,NA,NA,1,NA
4,NA,NA,1,NA
5,NA,NA,1,NA
6,NA,NA,1,NA
7,NA,NA,1,NA
8,NA,NA,1,NA
9,NA,NA,1,NA
10,NA,NA,1,NA
11,NA,NA,1,NA
12,NA,NA,1,NA
13,NA,NA,1,NA
14,NA,NA,1,NA
15,NA,NA,1,NA
16,NA,NA,1,NA
17,NA,NA,1,NA
18,NA,NA,1,NA
19,NA,NA,1,NA
20,NA,NA,1,NA
21,NA,NA,1,NA
22,NA,NA,1,NA
23,NA,NA,1,NA
24,NA,NA,1,NA
25,1,2,1,220
26,1,2,1,212
27,1,2,1,221
28,1,2,1,207
29,1,2,1,218
30,1,2,1,201
31,1,2,1,214
32,1,2,1,229
33,1,3,1,214
34,1,3,1,198
35,1,3,1,194
36,1,3,1,211
37,1,3,1,212
38,1,3,1,228
39,1,3,1,210
40,1,3,1,198
41,1,4,1,223
42,1,4,1,223
43,1,4,1,215
44,1,4,1,226
45,1,4,1,212
46,1,4,1,231
47,1,4,1,229
48,5,6,1,221
49,5,6,1,210
50,5,6,1,213
51,5,6,1,223
52,5,6,1,239
53,5,6,1,222
54,5,6,1,223
55,5,7,1,217
56,5,7,1,216
57,5,7,1,206
58,5,7,1,204
59,5,7,1,216
60,5,7,1,212
61,5,8,1,218
62,5,8,1,218
63,5,8,1,220
64,5,8,1,202
65,5,8,1,209
66,5,8,1,213
67,5,8,1,201
68,5,8,1,211
69,5,8,1,225
70,9,10,1,213
71,9,10,1,211
72,9,10,1,221
73,9,10,1,215
74,9,10,1,228
75,9,10,1,204
76,9,11,1,225
77,9,11,1,224
78,9,11,1,225
79,9,11,1,216
80,9,11,1,224
81,9,11,1,220
82,9,11,1,225
83,9,12,1,215
84,9,12,1,222
85,9,12,1,219
86,9,12,1,224
87,9,12,1,225
88,9,12,1,212
89,9,12,1,214
90,9,12,1,219
91,13,14,1,239
92,13,14,1,233
93,13,14,1,241
94,13,14,1,232
95,13,14,1,226
96,13,14,1,228
97,13,14,1,211
98,13,14,1,215
99,13,15,1,228
100,13,15,1,211
101,13,15,1,202
102,13,15,1,226
103,13,15,1,222
104,13,15,1,203
105,13,15,1,213
106,13,15,1,219
107,13,16,1,230
108,13,16,1,238
109,13,16,1,217
110,13,16,1,220
111,13,16,1,222
112,13,16,1,227
113,13,16,1,227
114,13,16,1,234
115,17,18,1,222
116,17,18,1,221
117,17,18,1,203
118,17,18,1,210
119,17,18,1,210
120,17,18,1,229
121,17,18,1,227
122,17,18,1,221
123,17,19,1,237
124,17,19,1,222
125,17,19,1,232
