Weight,Feed,Time,Pig,Evit,Cu,Litter
26.5,NA,1,4601,1,1,1
27.59999,5.200005,2,4601,1,1,1
36.5,17.6,3,4601,1,1,1
40.29999,28.5,4,4601,1,1,1
49.09998,45.200001,5,4601,1,1,1
55.39999,56.900002,6,4601,1,1,1
59.59998,71.700005,7,4601,1,1,1
67,86.800001,8,4601,1,1,1
76.59998,104.900002,9,4601,1,1,1
86.5,123,10,4601,1,1,1
91.59998,140.900002,11,4601,1,1,1
98.59998,160,12,4601,1,1,1
27,NA,1,4643,1,1,2
31.79999,6.400002,2,4643,1,1,2
39,21.5,3,4643,1,1,2
44.79999,33.900002,4,4643,1,1,2
50.89999,44.900002,5,4643,1,1,2
57.39999,58.8,6,4643,1,1,2
62.5,73.700001,7,4643,1,1,2
71.69995,92.800003,8,4643,1,1,2
78.19995,111.5,9,4643,1,1,2
85.79999,132.800003,10,4643,1,1,2
91.79999,148.400001,11,4643,1,1,2
100.19995,170,12,4643,1,1,2
17,NA,1,4756,3,1,3
19,9.900002,2,4756,3,1,3
23.59999,18.5,3,4756,3,1,3
30,28.900002,4,4756,3,1,3
36.29999,38.100002,5,4756,3,1,3
42.39999,52.799999,6,4756,3,1,3
50.5,66.799999,7,4756,3,1,3
57.59998,86,8,4756,3,1,3
66.59998,106,9,4756,3,1,3
74.19995,123,10,4756,3,1,3
83,141.900002,11,4756,3,1,3
89.29999,163.700001,12,4756,3,1,3
26.89999,NA,1,4757,1,1,3
32.29999,9.900002,2,4757,1,1,3
38.59998,20.200005,3,4757,1,1,3
46,30,4,4757,1,1,3
57.79999,40,5,4757,1,1,3
58.59998,62.800003,6,4757,1,1,3
65.89996,78.300003,7,4757,1,1,3
71.19995,97.900002,8,4757,1,1,3
79.39996,115.800003,9,4757,1,1,3
81,129,10,4757,1,1,3
91.69995,150,11,4757,1,1,3
91,156.800003,12,4757,1,1,3
29,NA,1,4854,2,1,6
32.69998,8.200001,2,4854,2,1,6
38.29999,19.800003,3,4854,2,1,6
45.5,30,4,4854,2,1,6
48.59998,40,5,4854,2,1,6
56,50,6,4854,2,1,6
62.59998,70,7,4854,2,1,6
70.19995,86.200001,8,4854,2,1,6
73.79999,100,9,4854,2,1,6
80.29999,120.5,10,4854,2,1,6
85.5,138.5,11,4854,2,1,6
93.09998,158,12,4854,2,1,6
32,NA,1,4856,1,1,6
35.19998,8.1,2,4856,1,1,6
41.5,19.600006,3,4856,1,1,6
47.69998,27.6,4,4856,1,1,6
53.79999,41.800003,5,4856,1,1,6
61.59998,58.600006,6,4856,1,1,6
70,75.200001,7,4856,1,1,6
79.09998,91.700005,8,4856,1,1,6
85.69995,109,9,4856,1,1,6
92.5,131,10,4856,1,1,6
101.09998,153,11,4856,1,1,6
109,177.6,12,4856,1,1,6
21.2,NA,1,5497,1,1,8
25.79999,6.300001,2,5497,1,1,8
29.39999,16.5,3,5497,1,1,8
36.79999,27.200001,4,5497,1,1,8
43.19998,40.200005,5,5497,1,1,8
51.09998,54.800003,6,5497,1,1,8
59.29999,68,7,5497,1,1,8
66,85.200001,8,5497,1,1,8
72.79999,101.100006,9,5497,1,1,8
78.59998,119.5,10,5497,1,1,8
93.79999,144.200001,11,5497,1,1,8
95.19995,158.5,12,5497,1,1,8
29.59999,NA,1,5502,3,1,8
34.19998,9,2,5502,3,1,8
43,21.400002,3,5502,3,1,8
50,36.5,4,5502,3,1,8
57,51,5,5502,3,1,8
63.5,66.800001,6,5502,3,1,8
72.69995,80.100006,7,5502,3,1,8
78.69995,96.200001,8,5502,3,1,8
84.89996,109.800003,9,5502,3,1,8
91,126.800001,10,5502,3,1,8
96.39996,145.200001,11,5502,3,1,8
100.19995,157.999996,12,5502,3,1,8
22.39999,NA,1,5524,2,1,9
25.2,10,2,5524,2,1,9
30,26.699997,3,5524,2,1,9
36.5,39.799999,4,5524,2,1,9
43.29999,55.199997,5,5524,2,1,9
50,74.499996,6,5524,2,1,9
58.09998,85.999996,7,5524,2,1,9
63,101.999996,8,5524,2,1,9
70.69995,121.999996,9,5524,2,1,9
78.09998,136.099997,10,5524,2,1,9
83.5,136.099997,11,5524,2,1,9
24,NA,1,5528,3,1,9
28.2,10,2,5528,3,1,9
35.29999,20,3,5528,3,1,9
42.69998,32.100002,4,5528,3,1,9
48.19998,44.800003,5,5528,3,1,9
53.19998,58.5,6,5528,3,1,9
64.79999,76.1,7,5528,3,1,9
71.5,94.200001,8,5528,3,1,9
76.09998,113.200001,9,5528,3,1,9
86.09998,134.900002,10,5528,3,1,9
92.5,146.1,11,5528,3,1,9
27,NA,1,5581,3,1,10
30,6.800001,2,5581,3,1,10
