reg,popu,gen,rack,nutrient,amd,status,total.fruits
NL,3.NL,4,2,1,clipped,Transplant,0
NL,3.NL,4,1,1,clipped,Petri.Plate,0
NL,3.NL,4,1,1,clipped,Normal,0
NL,3.NL,4,2,1,clipped,Normal,0
NL,3.NL,4,2,8,clipped,Transplant,0
NL,3.NL,4,2,1,unclipped,Petri.Plate,0
NL,3.NL,4,2,1,clipped,Normal,0
NL,3.NL,4,1,1,clipped,Normal,3
NL,3.NL,4,2,8,unclipped,Normal,2
NL,3.NL,5,1,1,clipped,Petri.Plate,0
NL,3.NL,5,2,1,clipped,Transplant,0
NL,3.NL,5,2,8,unclipped,Transplant,0
NL,3.NL,5,2,8,clipped,Normal,1
NL,3.NL,5,1,1,unclipped,Petri.Plate,15
NL,3.NL,5,1,8,clipped,Normal,33
NL,3.NL,6,1,1,clipped,Petri.Plate,0
NL,3.NL,6,1,1,clipped,Normal,0
NL,3.NL,6,2,1,clipped,Normal,0
NL,3.NL,6,2,1,unclipped,Petri.Plate,7
NL,3.NL,6,2,8,clipped,Normal,8
NL,5.NL,11,2,1,clipped,Petri.Plate,0
NL,5.NL,11,1,1,clipped,Petri.Plate,0
NL,5.NL,11,2,1,unclipped,Transplant,0
NL,5.NL,11,2,1,clipped,Normal,0
NL,5.NL,11,1,8,unclipped,Transplant,50
NL,5.NL,12,2,1,unclipped,Transplant,0
NL,5.NL,12,1,1,unclipped,Petri.Plate,1
NL,5.NL,12,1,8,clipped,Normal,85
NL,5.NL,12,2,8,unclipped,Normal,8
NL,5.NL,12,1,1,clipped,Petri.Plate,8
NL,5.NL,12,1,8,unclipped,Normal,79
NL,5.NL,12,1,8,clipped,Normal,94
NL,5.NL,12,2,8,unclipped,Normal,26
NL,5.NL,12,1,1,unclipped,Petri.Plate,41
NL,5.NL,12,1,8,clipped,Petri.Plate,104
NL,5.NL,12,1,8,unclipped,Normal,41
SP,1.SP,13,2,8,unclipped,Normal,129
SP,1.SP,13,1,1,clipped,Normal,14
SP,1.SP,13,1,1,clipped,Transplant,89
SP,1.SP,14,2,1,clipped,Normal,0
SP,1.SP,14,2,1,unclipped,Transplant,8
SP,1.SP,14,2,8,clipped,Normal,12
SP,1.SP,14,2,1,unclipped,Normal,17
SP,1.SP,14,2,8,clipped,Transplant,50
SP,1.SP,14,2,8,unclipped,Normal,109
SP,1.SP,15,1,1,clipped,Transplant,0
SP,1.SP,15,2,1,unclipped,Petri.Plate,0
SP,1.SP,15,2,1,clipped,Normal,8
SP,1.SP,15,1,8,unclipped,Petri.Plate,61
SP,1.SP,15,1,1,unclipped,Petri.Plate,1
SP,1.SP,15,2,8,unclipped,Normal,63
SP,1.SP,15,1,8,unclipped,Normal,136
SP,1.SP,15,2,8,unclipped,Transplant,30
SP,1.SP,15,1,8,unclipped,Normal,140
SP,1.SP,15,1,1,unclipped,Normal,129
SP,1.SP,15,1,8,unclipped,Transplant,148
SP,5.SP,16,2,8,clipped,Normal,0
SP,5.SP,16,2,1,clipped,Normal,0
SP,5.SP,16,1,1,clipped,Petri.Plate,1
SP,5.SP,16,2,1,clipped,Normal,9
SP,5.SP,16,1,8,unclipped,Normal,57
SP,5.SP,16,2,1,unclipped,Transplant,9
SP,5.SP,16,1,8,clipped,Petri.Plate,63
SP,5.SP,16,1,1,clipped,Transplant,12
SP,5.SP,17,1,1,unclipped,Petri.Plate,4
SP,5.SP,17,1,1,clipped,Normal,2
SP,5.SP,17,1,1,clipped,Normal,46
SP,5.SP,17,1,8,clipped,Normal,37
SP,5.SP,18,2,8,clipped,Transplant,12
SP,6.SP,20,2,8,clipped,Transplant,0
SP,6.SP,20,2,8,clipped,Petri.Plate,0
SP,6.SP,20,1,1,clipped,Normal,80
SP,8.SP,22,1,8,clipped,Petri.Plate,8
SP,8.SP,22,2,8,unclipped,Normal,17
SP,8.SP,23,2,1,clipped,Transplant,0
SP,8.SP,23,1,1,clipped,Petri.Plate,2
SP,8.SP,23,1,1,unclipped,Normal,5
SP,8.SP,24,2,1,clipped,Normal,0
SP,8.SP,24,1,8,clipped,Transplant,115
SP,8.SP,24,1,8,clipped,Normal,117
SP,8.SP,24,1,8,unclipped,Transplant,4
SP,8.SP,24,2,8,clipped,Normal,21
SP,8.SP,24,2,8,unclipped,Petri.Plate,61
SP,8.SP,24,1,8,unclipped,Transplant,7
SW,1.SW,25,1,1,clipped,Normal,0
SW,1.SW,25,2,1,unclipped,Petri.Plate,0
SW,1.SW,25,1,8,clipped,Petri.Plate,1
SW,1.SW,25,1,8,clipped,Normal,230
SW,1.SW,25,2,8,clipped,Normal,5
SW,1.SW,27,2,8,clipped,Petri.Plate,0
SW,1.SW,27,1,1,clipped,Normal,0
SW,1.SW,27,1,1,unclipped,Normal,0
SW,1.SW,27,1,1,unclipped,Petri.Plate,0
SW,1.SW,27,2,1,clipped,Transplant,0
SW,1.SW,27,2,1,unclipped,Normal,0
SW,1.SW,27,2,1,clipped,Normal,0
SW,2.SW,28,1,1,clipped,Transplant,0
SW,2.SW,28,2,1,unclipped,Normal,0
SW,2.SW,28,1,8,clipped,Normal,60
SW,2.SW,28,1,1,unclipped,Transplant,9
SW,2.SW,30,1,1,clipped,Normal,0
SW,2.SW,30,1,1,unclipped,Petri.Plate,0
SW,2.SW,30,1,8,clipped,Petri.Plate,0
SW,2.SW,30,2,1,clipped,Petri.Plate,0
SW,2.SW,30,1,1,clipped,Normal,6
SW,2.SW,30,2,1,clipped,Normal,5
SW,2.SW,30,2,1,unclipped,Normal,15
SW,7.SW,34,1,1,unclipped,Normal,0
SW,7.SW,34,2,8,clipped,Transplant,0
SW,7.SW,34,1,1,clipped,Transplant,0
SW,7.SW,34,2,8,clipped,Transplant,0
SW,7.SW,34,2,1,clipped,Transplant,0
SW,7.SW,34,2,1,unclipped,Transplant,0
SW,7.SW,34,2,1,clipped,Normal,0
SW,7.SW,34,2,1,unclipped,Normal,0
SW,7.SW,34,2,8,clipped,Normal,0
SW,7.SW,34,2,1,unclipped,Normal,0
SW,7.SW,34,2,1,clipped,Normal,0
SW,7.SW,34,1,8,unclipped,Transplant,0
SW,7.SW,34,1,1,unclipped,Normal,0
SW,7.SW,34,1,1,unclipped,Transplant,0
SW,7.SW,34,1,8,clipped,Transplant,0
SW,7.SW,34,1,8,unclipped,Transplant,0
SW,7.SW,34,1,1,clipped,Transplant,0
SW,7.SW,34,1,1,unclipped,Transplant,0
SW,7.SW,34,1,8,clipped,Normal,0
SW,7.SW,34,1,8,unclipped,Normal,0
SW,7.SW,34,1,1,unclipped,Normal,0
SW,7.SW,34,2,8,unclipped,Normal,0
SW,7.SW,34,2,8,clipped,Transplant,0
SW,7.SW,34,2,1,clipped,Transplant,0
SW,7.SW,34,2,1,unclipped,Transplant,0
SW,7.SW,34,2,8,unclipped,Transplant,0
SW,7.SW,34,2,1,clipped,Transplant,0
SW,7.SW,34,2,1,unclipped,Transplant,0
SW,7.SW,34,2,1,clipped,Normal,0
SW,7.SW,34,2,8,unclipped,Normal,0
SW,7.SW,34,2,8,unclipped,Normal,0
SW,7.SW,34,2,8,clipped,Normal,0
SW,7.SW,34,2,1,unclipped,Normal,0
SW,7.SW,34,2,8,unclipped,Transplant,35
SW,7.SW,34,2,8,clipped,Normal,9
SW,7.SW,34,1,8,clipped,Transplant,0
SW,7.SW,34,1,8,clipped,Normal,0
SW,7.SW,34,2,1,clipped,Transplant,0
SW,7.SW,35,2,8,clipped,Normal,0
SW,7.SW,35,2,8,clipped,Normal,0
SW,7.SW,35,2,1,unclipped,Normal,0
SW,7.SW,35,2,1,clipped,Normal,0
SW,7.SW,35,2,8,clipped,Transplant,0
SW,7.SW,35,2,1,unclipped,Transplant,0
SW,7.SW,35,2,8,clipped,Normal,0
SW,7.SW,35,2,1,clipped,Normal,0
SW,7.SW,35,1,1,clipped,Normal,0
SW,7.SW,35,2,1,unclipped,Transplant,0
SW,7.SW,35,2,1,clipped,Petri.Plate,0
SW,7.SW,35,1,8,clipped,Normal,0
SW,7.SW,35,1,8,clipped,Normal,0
SW,7.SW,35,1,1,clipped,Normal,0
SW,7.SW,35,1,1,unclipped,Petri.Plate,0
SW,7.SW,35,1,8,unclipped,Transplant,0
SW,7.SW,35,1,8,clipped,Normal,0
SW,7.SW,35,1,8,clipped,Normal,0
SW,7.SW,35,2,8,unclipped,Normal,0
SW,7.SW,35,2,8,clipped,Normal,0
SW,7.SW,35,2,1,unclipped,Petri.Plate,0
SW,7.SW,35,2,8,unclipped,Normal,0
SW,7.SW,35,1,8,clipped,Transplant,64
SW,7.SW,35,1,8,clipped,Normal,1
SW,7.SW,35,1,1,clipped,Transplant,4
SW,7.SW,35,2,1,unclipped,Normal,11
SW,7.SW,35,2,8,unclipped,Transplant,5
SW,7.SW,35,1,8,unclipped,Normal,1
SW,7.SW,35,1,1,unclipped,Normal,5
SW,7.SW,35,1,1,clipped,Transplant,0
SW,7.SW,35,1,1,unclipped,Transplant,0
SW,7.SW,36,2,1,clipped,Transplant,0
SW,7.SW,36,2,1,clipped,Normal,0
SW,7.SW,36,2,8,clipped,Normal,0
SW,7.SW,36,2,1,clipped,Transplant,0
SW,7.SW,36,2,8,unclipped,Petri.Plate,0
SW,7.SW,36,2,1,unclipped,Transplant,0
SW,7.SW,36,1,8,unclipped,Normal,0
SW,7.SW,36,1,8,unclipped,Normal,0
SW,7.SW,36,1,8,clipped,Transplant,0
SW,7.SW,36,2,1,unclipped,Normal,0
SW,7.SW,36,2,8,clipped,Normal,0
SW,7.SW,36,2,1,unclipped,Normal,0
SW,7.SW,36,2,8,unclipped,Normal,0
SW,7.SW,36,2,8,unclipped,Transplant,0
SW,7.SW,36,2,1,clipped,Transplant,0
SW,7.SW,36,2,8,unclipped,Transplant,0
SW,7.SW,36,2,8,unclipped,Transplant,0
SW,7.SW,36,2,8,unclipped,Normal,0
SW,7.SW,36,2,1,clipped,Normal,0
SW,7.SW,36,2,8,unclipped,Normal,4
SW,7.SW,36,1,1,clipped,Normal,8
SW,7.SW,36,2,1,unclipped,Transplant,0
SW,7.SW,36,1,1,unclipped,Transplant,0
SW,7.SW,36,1,8,clipped,Normal,0
SW,7.SW,36,2,8,clipped,Petri.Plate,0
SW,7.SW,36,2,1,clipped,Transplant,0
NL,5.NL,11,1,1,unclipped,Normal,3
