id,y,time,sec
1,1,0,1
1,2,6,1
1,2,12,1
1,2,24,1
2,1,0,1
2,2,6,1
2,2,12,1
2,1,24,1
3,0,0,1
3,2,6,1
3,2,12,1
3,2,24,1
4,1,0,1
4,1,6,1
4,1,12,1
4,1,24,1
5,0,0,1
5,1,6,1
5,2,12,1
5,2,24,1
6,2,0,1
6,2,6,1
6,2,12,1
6,2,24,1
7,2,0,1
7,2,6,1
7,2,12,1
7,2,24,1
8,2,0,1
8,0,6,1
8,0,12,1
8,2,24,1
9,1,0,1
9,1,6,1
9,2,12,1
9,2,24,1
10,2,0,1
10,NA,6,1
10,NA,12,1
10,NA,24,1
11,1,0,1
11,2,6,1
11,NA,12,1
11,1,24,1
12,1,0,1
12,2,6,1
12,1,12,1
12,1,24,1
13,0,0,1
13,0,6,1
13,2,12,1
13,NA,24,1
14,0,0,1
14,2,6,1
14,2,12,1
14,2,24,1
15,0,0,1
15,1,6,1
15,0,12,1
15,0,24,1
16,0,0,1
16,NA,6,1
16,NA,12,1
16,NA,24,1
17,0,0,1
17,2,6,1
17,2,12,1
17,1,24,1
18,1,0,1
18,1,6,1
18,2,12,1
18,2,24,1
19,2,0,1
19,1,6,1
19,2,12,1
19,2,24,1
20,1,0,1
20,2,6,1
20,2,12,1
20,2,24,1
21,0,0,1
21,2,6,1
21,2,12,1
21,0,24,1
22,0,0,1
22,1,6,1
22,2,12,1
22,2,24,1
23,1,0,1
23,2,6,1
23,2,12,1
23,2,24,1
24,1,0,1
24,2,6,1
24,2,12,1
24,2,24,1
25,2,0,1
25,2,6,1
25,2,12,1
25,2,24,1
26,1,0,1
26,2,6,1
26,2,12,1
26,2,24,1
27,1,0,1
27,1,6,1
27,2,12,1
27,NA,24,1
28,0,0,1
28,0,6,1
28,0,12,1
28,0,24,1
29,0,0,1
29,2,6,1
29,1,12,1
29,1,24,1
30,2,0,1
30,NA,6,1
30,NA,12,1
30,NA,24,1
31,2,0,1
31,2,6,1
31,2,12,1
31,2,24,1
