"","group","dose","area"
"1",9,3.1,10.35
"2",9,3.1,11.87
"3",9,3.1,11.43
"4",9,3.1,4.02
"5",9,3.1,4.02
"6",8,1,103.32
"7",8,1,2.08
"8",8,1,87.06
"9",7,0.31,118.92
"10",7,0.31,323.97
"11",7,0.31,73.96
"12",7,0.31,317.16
"13",6,0.08,1153.28
"14",6,0.08,612.69
"15",6,0.08,1781.3
"16",6,0.08,1890.28
"17",5,0.025,1231.29
"18",5,0.025,661.26
"19",5,0.025,693.83
"20",5,0.025,901.11
"21",5,0.025,812.04
"22",4,0.008,845.31
"23",4,0.008,853.02
"24",4,0.008,806.42
"25",4,0.008,543.98
"26",3,0.0025,1290.54
"27",3,0.0025,985.97
"28",3,0.0025,1546.1
"29",3,0.0025,1540.11
"30",3,0.0025,1518.97
"31",2,8e-04,796.48
"32",2,8e-04,979.94
"33",2,8e-04,480.22
"34",2,8e-04,921.69
"35",2,8e-04,1569.88
"36",1,0,798.49
"37",1,0,1254.48
"38",1,0,1428.15
"39",1,0,1731.46
"40",1,0,2011.21
"41",1,0,1115.5
"42",1,0,1953.44
