"","group","dose","area"
"1",8,8,30.64
"2",8,8,9.68
"3",8,8,7.03
"4",8,8,7.25
"5",8,8,8.12
"6",8,8,32.55
"7",8,8,10.24
"8",8,8,6.21
"9",8,8,9.9
"10",7,2.5,25.3
"11",7,2.5,17.88
"12",7,2.5,50.56
"13",7,2.5,41.58
"14",7,2.5,101.35
"15",7,2.5,28.12
"16",7,2.5,9.51
"17",7,2.5,36.28
"18",7,2.5,36.41
"19",7,2.5,43.97
"20",6,0.8,173.96
"21",6,0.8,81.16
"22",6,0.8,114.5
"23",6,0.8,130.64
"24",6,0.8,102.3
"25",6,0.8,96.35
"26",6,0.8,62.89
"27",6,0.8,128.13
"28",6,0.8,136.11
"29",6,0.8,68.97
"30",5,0.25,412.24
"31",5,0.25,355.47
"32",5,0.25,279.3
"33",5,0.25,436.24
"34",5,0.25,392.66
"35",5,0.25,420.53
"36",5,0.25,333.94
"37",5,0.25,434.64
"38",5,0.25,437.5
"39",5,0.25,500.39
"40",4,0.08,932.55
"41",4,0.08,1060.42
"42",4,0.08,705.56
"43",4,0.08,896.18
"44",4,0.08,890.93
"45",4,0.08,837.5
"46",4,0.08,892.1
"47",4,0.08,511.37
"48",4,0.08,577.26
"49",4,0.08,426.3
"50",3,0.025,1589.11
"51",3,0.025,1065.97
"52",3,0.025,1298.74
"53",3,0.025,1102
"54",3,0.025,1429.25
"55",3,0.025,1343.01
"56",3,0.025,1309.59
"57",3,0.025,1301.65
"58",3,0.025,920.18
"59",3,0.025,1001.61
"60",2,8e-04,1460.03
"61",2,8e-04,1227.6
"62",2,8e-04,1474.57
"63",2,8e-04,1764.28
"64",2,8e-04,1356.29
"65",2,8e-04,1387.5
"66",1,0,1523.18
"67",1,0,1543.49
"68",1,0,1112.15
"69",1,0,1583.46
"70",1,0,984.59
"71",1,0,1380.77
"72",1,0,1497.09
