time,gasprice
1990.134615,126.6
1990.153846,127.2
1990.173077,132.1
1990.192308,133.3
1990.211538,133.9
1990.230769,134.5
1990.25,133.9
1990.269231,133.4
1990.288462,132.8
1990.307692,132.3
1990.326923,131.1
1990.346154,134.1
1990.365385,119.2
1990.384615,116.8
1990.403846,113.9
1990.423077,110.6
1990.442308,107.8
1990.461538,105.4
1990.480769,102.5
1990.5,104.5
1990.519231,104.3
1990.538462,104.7
1990.557692,105.2
1990.576923,106.6
1990.596154,106.9
1990.615385,109
1990.634615,110.4
1990.653846,111.3
1990.673077,112.1
1990.692308,112.9
1990.711538,114
1990.730769,113.8
1990.75,113.5
1990.769231,112.6
1990.788462,111.4
1990.807692,110.4
1990.826923,109.8
1990.846154,109.4
1990.865385,109.1
1990.884615,109.1
1990.903846,109.9
1990.923077,111.2
1990.942308,112.4
1990.961538,112.4
1990.980769,112.7
1991,112
1991.019231,111
1991.038462,109.7
1991.057692,109.2
1991.076923,108.9
1991.096154,108.4
1991.115385,108.8
1991.134615,109.1
1991.153846,109.1
1991.173077,110.2
1991.192308,110.4
1991.211538,109.9
1991.230769,109.9
1991.25,109.1
1991.269231,107.5
1991.288462,106.3
1991.307692,105.3
1991.326923,104.2
1991.346154,102.6
1991.365385,101.4
1991.384615,100.6
1991.403846,99.5
1991.423077,100.4
1991.442308,101.1
1991.461538,101.4
1991.480769,101.2
1991.5,101.3
1991.519231,101
1991.538462,101.5
1991.557692,101.3
1991.576923,102.6
1991.596154,105.1
1991.615385,105.8
1991.634615,107.2
1991.653846,108.9
1991.673077,110.2
1991.692308,111.8
1991.711538,112
1991.730769,112.8
1991.75,114.3
1991.769231,115.1
1991.788462,115.3
1991.807692,114.9
1991.826923,114.7
1991.846154,113.9
1991.865385,113.2
1991.884615,112.8
1991.903846,112.6
1991.923077,112.3
1991.942308,111.6
1991.961538,112.3
1991.980769,112.1
1992,112.1
1992.019231,112.4
1992.038462,112.3
1992.057692,111.8
1992.076923,111.5
1992.096154,111.5
1992.115385,111.3
1992.134615,111.3
1992.153846,112
1992.173077,112
1992.192308,111.2
1992.211538,110.6
1992.230769,109.8
1992.25,108.9
1992.269231,107.8
1992.288462,107.4
1992.307692,106.9
1992.326923,106.5
1992.346154,106.6
1992.365385,106.1
1992.384615,105.5
1992.403846,105.5
1992.423077,106.2
1992.442308,105.3
1992.461538,104.7
1992.480769,104.2
1992.5,104.8
1992.519231,105.8
1992.538462,105.6
1992.557692,105.7
1992.576923,106.8
1992.596154,107.9
1992.615385,107.9
1992.634615,108.6
1992.653846,108.6
1992.673077,109.7
1992.692308,110.6
1992.711538,110.6
1992.730769,110.7
1992.75,110.4
1992.769231,110.1
1992.788462,109.5
1992.807692,108.9
1992.826923,108.6
1992.846154,108.1
1992.865385,107.5
1992.884615,106.9
1992.903846,106.2
1992.923077,106
1992.942308,105.9
1992.961538,106.5
1992.980769,106.2
1993,105.5
1993.019231,105.1
1993.038462,104.5
1993.057692,104.7
1993.076923,109.2
1993.096154,109
1993.115385,109.3
1993.134615,109.2
1993.153846,108.4
1993.173077,107.5
1993.192308,106.4
1993.211538,105.8
1993.230769,105.1
1993.25,103.6
1993.269231,101.8
1993.288462,100.3
1993.307692,99.9
1993.326923,99.2
1993.346154,99.5
1993.365385,100.1
1993.384615,99.9
1993.403846,100.5
1993.423077,100.7
1993.442308,101.6
1993.461538,100.9
1993.480769,100.4
1993.5,100.7
1993.519231,100.5
1993.538462,100.7
1993.557692,101.2
1993.576923,101.1
1993.596154,102.8
1993.615385,103.3
1993.634615,103.7
1993.653846,104
1993.673077,104.5
1993.692308,104.6
1993.711538,105
1993.730769,105.6
1993.75,106.5
1993.769231,107.3
1993.788462,107.9
1993.807692,109.5
1993.826923,109.7
1993.846154,110.3
1993.865385,110.9
1993.884615,111.4
1993.903846,113
1993.923077,115.7
1993.942308,116.1
1993.961538,116.5
1993.980769,116.1
1994,115.6
1994.019231,115
1994.038462,114
1994.057692,112.9
1994.076923,112
1994.096154,111.4
1994.115385,110.6
1994.134615,110.7
1994.153846,112.1
1994.173077,112.3
1994.192308,112.2
1994.211538,111.3
1994.230769,108.2
1994.25,107.5
1994.269231,106.4
1994.288462,105.6
1994.307692,104.4
1994.326923,106.3
1994.346154,107
1994.365385,106.2
1994.384615,106.8
1994.403846,106.8
1994.423077,106.2
1994.442308,105.8
1994.461538,105.2
1994.480769,106
1994.5,106.3
1994.519231,105.6
1994.538462,105.5
1994.557692,106.3
1994.576923,107.7
1994.596154,109.4
1994.615385,111
1994.634615,113.3
1994.653846,114.1
