Tillage,DVS,Biomass,Biom.2
CA-,0.490388663,0.541232722,108.2465444
CA-,0.490388663,1.309001308,261.8002616
CA-,0.490388663,7.030325777,7.030325777
CA-,0.490388663,2.030325782,2.030325782
CA-,0.748889201,5.910564821,5.910564821
CA-,0.748889201,68.21821819,68.21821819
CA-,0.748889201,26.64710167,26.64710167
CA-,1,50.63560902,50.63560902
CA-,1,37.7156002,37.7156002
CA-,1,116.087252,116.087252
CA-,1,52.87128042,52.87128042
CA-,1.388068561,48.2025909,48.2025909
CA-,1.388068561,100.7209132,100.7209132
CA-,1.388068561,158.3894974,158.3894974
CA-,1.388068561,168.0453182,168.0453182
CA-,2,103.7269983,103.7269983
CA-,2,284.4575343,284.4575343
CA-,2,431.9106036,431.9106036
CA-,2,152.5598327,152.5598327
CA+,0.490388663,1.007136946,1.007136946
CA+,0.490388663,0.908506547,0.908506547
CA+,0.490388663,1.560349414,1.560349414
CA+,0.490388663,11.22219442,11.22219442
CA+,0.748889201,12.08564335,12.08564335
CA+,0.748889201,17.34921198,17.34921198
CA+,0.748889201,11.27468616,11.27468616
CA+,0.748889201,63.9362974,63.9362974
CA+,1,74.42755264,74.42755264
CA+,1,48.94600488,48.94600488
CA+,1,101.5051511,101.5051511
CA+,1,147.7895951,147.7895951
CA+,1.388068561,39.62375842,39.62375842
CA+,1.388068561,85.26909271,85.26909271
CA+,1.388068561,174.621236,174.621236
CA+,1.388068561,323.9773106,323.9773106
CA+,2,231.4165129,231.4165129
CA+,2,200.848896,200.848896
CA+,2,579.6046045,5.796046045
CT,0.490388663,3.62862863,3.62862863
CT,0.490388663,16.14279114,16.14279114
CT,0.490388663,3.47331343,3.47331343
CT,0.490388663,1.965557791,1.965557791
CT,0.748889201,74.80437429,74.80437429
CT,0.748889201,61.80823679,61.80823679
CT,0.748889201,21.84160905,21.84160905
CT,0.748889201,31.41491005,31.41491005
CT,1,187.806893,187.806893
CT,1,114.2407517,114.2407517
CT,1,54.87900692,54.87900692
CT,1,42.79522241,42.79522241
CT,1.388068561,246.4736243,246.4736243
CT,1.388068561,345.5412829,345.5412829
CT,1.388068561,128.1885083,128.1885083
CT,1.388068561,270.4160471,270.4160471
CT,2,513.6421369,513.6421369
CT,2,361.9505493,361.9505493
CT,2,295.0319506,295.0319506
CT,2,317.4047834,317.4047834
