participation,tenancy,suppl.income,income
0,1,0,271
0,1,0,287
0,1,1,714
0,1,0,521
0,0,0,0
0,1,0,518
0,1,0,458
0,1,0,1266
0,0,0,350
0,1,0,168
0,1,0,235
0,0,0,450
0,1,0,683
0,1,0,519
0,1,0,477
0,1,0,2697
1,0,1,184
0,1,1,220
0,0,0,581
0,1,0,212
0,0,0,285
1,1,1,188
0,0,1,264
1,0,1,169
0,0,1,198
1,0,0,196
0,1,1,797
0,1,0,435
0,1,0,1202
0,1,0,4533
0,0,1,356
0,0,0,372
0,0,1,453
0,0,0,1427
0,1,0,477
0,1,0,1980
0,1,0,1170
0,1,0,385
0,1,0,1661
1,0,0,885
0,1,0,379
0,0,0,735
0,1,0,580
0,0,0,201
0,1,0,500
0,1,0,449
0,1,1,373
0,1,0,607
0,1,0,211
0,1,0,235
1,0,1,386
1,0,0,176
0,1,0,233
0,1,1,1765
0,0,0,430
0,1,0,1061
0,0,1,534
0,0,1,540
0,0,1,200
0,1,0,3525
0,1,1,2165
1,0,1,177
0,1,0,465
0,1,1,476
0,1,0,589
1,1,0,1200
0,1,0,440
0,0,0,893
0,1,0,471
1,0,1,125
0,1,0,1251
0,1,0,2556
0,0,0,150
0,1,0,429
0,0,0,286
0,1,0,3556
0,0,0,893
0,1,1,230
1,0,0,586
0,1,0,307
0,1,0,482
0,1,0,1504
0,1,0,1680
0,1,1,354
0,1,0,1445
0,0,0,242
0,0,0,613
0,0,1,266
0,1,0,167
0,1,0,426
0,1,1,187
0,1,0,197
0,1,0,346
1,0,0,203
1,0,0,704
0,1,0,107
0,1,0,1578
0,1,0,295
0,1,0,1653
0,1,0,523
0,1,0,1445
0,0,1,443
1,1,1,291
0,1,0,596
0,1,1,476
1,0,1,334
1,0,0,197
0,0,1,575
1,0,1,977
0,1,0,1410
0,1,0,943
0,1,0,697
1,0,1,221
0,1,1,296
0,1,1,489
0,0,1,274
0,1,0,233
0,1,0,992
0,1,0,444
1,1,1,250
0,1,0,260
0,1,0,460
0,1,0,495
0,1,0,260
0,1,1,517
0,0,0,520
0,0,0,512
0,1,1,285
0,1,0,664
0,0,0,462
0,0,0,685
0,0,0,452
0,1,0,1143
0,1,0,1715
1,0,1,248
0,1,0,459
1,1,0,499
0,1,1,273
0,0,0,611
0,1,0,84
1,0,0,205
0,1,0,2331
0,1,0,1228
0,1,1,1179
0,1,0,1170
0,1,0,2995
1,1,0,273
0,1,0,196
0,1,1,1644
1,0,0,214
