O3,NO2,NO,SO2,PM10
32,48,94,8,27
29,49,86,6,25
32,34,16,20,32
32,35,79,9,22
33,50,108,11,24
27,58,92,16,26
34,53,100,17,29
22,51,99,18,30
30,40,45,16,29
35,43,37,6,24
27,53,102,16,46
23,58,153,35,46
28,29,54,13,44
34,29,43,4,67
35,29,42,5,33
45,37,21,10,32
36,30,14,3,29
26,45,106,15,44
23,52,87,9,28
16,49,111,14,49
23,48,175,18,56
25,49,64,13,43
20,43,41,30,40
36,41,58,8,23
26,52,67,16,45
34,46,31,15,46
34,36,44,4,31
41,29,53,21,42
38,38,25,45,39
38,47,40,63,107
37,62,97,13,41
43,23,17,3,30
36,29,42,8,29
38,26,31,4,26
34,33,44,9,30
30,33,47,5,30
33,27,39,6,26
41,15,10,3,20
42,23,12,2,19
37,32,39,9,41
33,40,44,10,32
34,31,52,5,32
36,30,37,6,16
25,29,50,5,22
35,27,17,5,108
41,36,30,15,109
46,44,89,10,65
41,40,94,4,47
34,78,140,28,93
39,46,62,15,105
29,41,51,5,27
32,31,60,3,49
29,38,60,6,62
20,49,139,12,34
25,48,105,6,61
32,32,59,4,60
24,26,34,3,39
22,28,58,7,57
34,24,17,6,52
25,27,48,5,41
30,39,74,34,53
30,29,57,9,36
32,36,54,3,101
34,33,44,3,26
29,48,99,18,58
28,26,26,5,40
24,34,100,3,28
22,33,71,19,34
27,43,104,8,24
23,41,122,6,128
22,34,64,38,55
52,51,40,123,59
32,40,80,7,84
30,21,15,7,24
29,36,79,22,64
53,46,108,11,68
32,43,95,4,96
23,49,47,178,101
40,35,35,121,51
33,27,34,19,44
71,61,52,11,77
26,50,86,93,97
22,39,49,8,37
14,45,68,38,70
20,50,63,13,78
27,71,120,147,95
31,42,38,11,82
28,27,56,3,33
46,52,59,9,48
65,60,99,28,97
30,31,44,8,28
36,44,56,24,63
27,28,58,10,71
36,20,18,4,37
31,16,8,8,16
30,29,40,38,34
33,36,47,59,38
40,46,138,313,85
38,58,103,24,119
29,36,36,6,54
37,34,55,102,38
40,48,66,136,84
42,54,125,14,70
25,34,90,8,52
24,39,57,4,30
33,33,71,6,23
48,62,89,18,73
55,41,21,28,65
38,47,18,62,64
27,45,121,5,69
27,33,73,15,88
38,60,125,5,50
36,44,129,45,73
31,51,80,22,56
34,47,58,6,38
32,37,58,8,27
27,30,23,8,44
29,38,48,15,41
33,45,51,8,28
33,48,125,21,67
32,43,78,10,36
32,46,203,98,47
46,41,127,41,53
36,34,19,5,24
40,16,9,4,20
45,42,57,2,18
44,33,44,4,21
25,31,51,14,24
25,49,75,9,30
24,45,80,11,36
40,35,21,6,46
38,35,12,52,31
41,33,34,9,61
42,36,32,8,70
43,28,29,4,41
39,45,43,6,32
33,46,101,68,53
29,29,14,55,36
40,55,17,13,61
31,57,132,25,87
37,82,70,20,71
58,85,189,20,121
69,86,256,28,148
64,70,68,33,58
71,52,66,23,68
44,45,34,7,65
40,19,21,4,20
26,32,34,7,29
24,31,63,9,29
29,31,36,5,17
25,34,45,5,18
30,25,24,6,18
33,34,44,5,18
36,28,37,47,31
32,37,53,24,20
36,40,41,6,23
35,37,55,11,27
33,39,48,5,24
33,25,19,11,21
26,39,17,11,39
28,54,71,21,50
50,43,40,70,61
59,78,49,18,63
29,43,53,11,43
23,43,44,10,31
27,35,41,8,27
35,25,13,5,23
35,23,11,5,21
34,38,60,5,24
30,31,29,5,18
31,40,47,5,23
35,42,70,5,25
18,36,59,13,35
34,23,20,14,20
27,45,73,7,33
29,30,44,5,20
24,33,34,6,17
27,30,48,13,17
30,26,40,16,29
32,27,38,6,21
23,25,52,11,30
31,25,34,5,24
24,27,39,11,39
25,29,45,9,28
19,24,59,6,31
14,33,94,8,38
24,27,75,9,18
28,32,44,9,22
26,27,59,15,34
23,27,70,9,30
23,32,45,14,25
33,29,97,14,30
25,21,36,8,24
27,14,25,4,26
20,16,22,4,26
42,27,45,9,42
37,28,33,8,33
57,38,31,12,39
45,48,33,98,53
63,79,204,21,86
33,19,15,14,18
46,30,30,11,38
30,36,37,7,39
32,41,84,5,43
19,46,80,16,55
20,28,75,21,53
24,29,71,15,48
39,21,22,14,26
38,13,9,3,19
40,26,45,5,39
42,42,49,13,70
41,43,68,15,83
27,52,67,13,53
29,41,64,11,45
25,29,30,11,31
34,30,42,6,19
20,46,94,17,34
24,39,121,15,28
18,31,96,11,27
20,24,49,19,30
24,25,47,5,17
25,32,41,4,18
35,30,63,11,33
24,32,73,40,50
37,32,26,88,50
59,38,25,49,81
52,60,79,13,78
34,39,47,11,41
63,37,34,13,65
74,37,14,107,63
70,34,32,7,64
32,46,85,10,33
29,49,104,16,50
32,58,71,65,69
31,50,105,30,100
46,54,41,12,42
36,44,28,12,56
32,33,15,44,27
36,36,22,50,39
19,54,35,15,51
14,53,103,20,68
25,48,98,13,48
26,62,138,21,82
28,49,62,13,59
29,51,55,7,34
34,62,48,104,51
52,40,20,21,43
37,46,57,17,53
31,49,100,13,33
32,53,101,8,35
27,47,63,4,25
