O3,NO2,NO,SO2,PM10
27,50,112,13,34
27,51,126,13,29
15,43,90,21,33
9,71,470,44,101
20,51,167,48,30
8,50,211,16,44
5,62,434,54,109
12,38,50,22,25
18,55,192,44,75
7,52,199,46,76
19,51,76,18,29
26,46,38,21,33
25,54,190,10,23
11,43,132,18,42
25,33,34,5,18
30,52,108,14,51
20,49,104,22,28
22,51,159,32,51
18,59,172,20,41
30,55,163,21,29
24,48,93,8,25
35,48,84,3,20
20,47,166,24,49
26,66,152,13,34
35,43,72,18,40
30,43,96,16,26
31,44,52,12,39
24,40,45,23,41
29,42,63,9,26
18,45,81,16,40
24,54,107,6,21
19,53,178,58,102
14,38,58,120,36
21,43,67,57,45
5,41,129,26,45
10,47,149,19,38
9,62,351,28,64
8,38,62,79,36
14,37,59,53,46
32,29,20,21,34
33,27,29,22,99
23,62,242,59,93
5,60,188,44,95
6,50,141,46,67
7,60,94,116,89
8,65,90,133,95
23,41,40,24,54
15,52,108,35,80
8,47,27,18,59
14,51,136,9,37
9,52,141,85,59
6,61,261,35,90
23,44,32,23,44
6,44,155,23,35
22,54,148,13,39
6,40,223,52,84
9,32,89,57,46
7,48,335,32,85
19,39,164,25,177
5,37,162,47,69
4,33,66,59,48
7,42,64,87,36
8,33,102,9,41
10,34,118,57,71
4,30,87,89,44
20,25,49,11,17
31,35,49,24,34
33,55,176,6,24
35,46,159,21,37
26,46,143,15,34
35,58,347,24,76
23,41,113,15,38
30,44,112,6,24
9,42,385,29,81
6,46,338,31,89
19,45,115,12,47
29,42,141,19,45
7,52,248,44,100
23,38,77,3,29
23,32,56,7,36
18,46,230,17,62
7,62,310,43,89
5,41,143,25,80
4,43,104,31,94
4,43,139,29,47
22,41,60,19,31
15,41,95,28,26
33,45,113,24,41
34,47,150,22,54
35,41,73,15,25
28,44,85,14,39
26,49,191,31,56
31,33,26,13,22
28,22,10,21,20
30,58,149,12,22
33,38,115,15,34
15,59,568,32,106
8,61,530,69,106
30,50,167,19,48
24,46,89,17,32
25,40,49,12,27
29,53,121,14,35
25,45,126,12,39
9,39,273,35,50
10,39,226,36,49
28,43,185,5,15
26,41,119,10,12
32,39,27,43,18
31,32,129,12,36
37,40,62,9,16
37,45,159,10,24
29,33,44,19,26
33,19,11,34,15
32,32,39,66,43
10,78,435,54,113
8,40,115,41,41
11,39,254,26,55
25,38,57,11,29
10,41,111,27,40
26,42,138,7,20
35,47,119,7,28
36,42,130,14,25
25,41,78,38,33
27,44,119,30,35
22,48,174,19,42
27,37,108,18,27
27,36,59,28,37
34,34,37,7,32
31,38,90,33,36
39,50,144,16,40
27,43,126,86,42
26,52,110,24,29
34,36,46,29,25
37,32,58,13,19
35,44,128,7,25
33,47,131,20,39
24,63,344,50,98
30,28,44,21,21
24,65,398,48,71
25,45,74,16,26
24,33,39,6,18
30,54,192,57,76
34,55,119,24,19
36,55,157,23,36
28,56,288,37,77
34,46,116,19,36
26,45,104,7,28
24,41,98,14,28
27,52,182,10,39
39,51,125,6,35
38,38,71,13,40
15,39,82,32,31
15,38,95,43,26
23,44,105,36,33
32,32,41,14,25
33,46,117,18,36
24,47,148,18,36
26,51,134,12,27
33,47,168,14,26
32,49,143,10,35
30,58,142,15,40
28,51,105,19,36
36,52,145,16,22
29,52,189,15,44
18,64,257,29,66
