"Package","Dataset","Title","Rows","Columns"
"COUNT","affairs","affairs",601,18
"COUNT","azdrg112","azdrg112",1798,4
"COUNT","azpro","azpro",3589,6
"COUNT","badhealth","badhealth",1127,3
"COUNT","fasttrakg","fasttrakg",15,9
"COUNT","lbw","lbw",189,10
"COUNT","lbwgrp","lbwgrp",6,7
"COUNT","loomis","loomis",410,11
"COUNT","mdvis","mdvis",2227,13
"COUNT","medpar","medpar",1495,10
"COUNT","rwm","rwm",27326,4
"COUNT","rwm5yr","rwm5yr",19609,17
"COUNT","ships","ships",40,7
"COUNT","titanic","titanic",1316,4
"COUNT","titanicgrp","titanicgrp",12,5
"Ecdat","Accident","Ship Accidents",40,5
"Ecdat","Airline","Cost for U.S. Airlines",90,6
"Ecdat","Airq","Air Quality for Californian Metropolitan Areas",30,6
"Ecdat","Benefits","Unemployement of Blue Collar Workers",4877,18
"Ecdat","Bids","Bids Received By U.S. Firms",126,12
"Ecdat","BudgetFood","Budget Share of Food for Spanish Households",23972,6
"Ecdat","BudgetItaly","Budget Shares for Italian Households",1729,11
"Ecdat","BudgetUK","Budget Shares of British Households",1519,10
"Ecdat","Bwages","Wages in Belgium",1472,4
"Ecdat","CPSch3","Earnings from the Current Population Survey",11130,3
"Ecdat","Capm","Stock Market Data",516,5
"Ecdat","Car","Stated Preferences for Car Choice",4654,70
"Ecdat","Caschool","The California Test Score Data Set",420,17
"Ecdat","Catsup","Choice of Brand for Catsup",2798,14
"Ecdat","Cigar","Cigarette Consumption",1380,9
"Ecdat","Cigarette","The Cigarette Consumption Panel Data Set",528,9
"Ecdat","Clothing","Sales Data of Men's Fashion Stores",400,13
"Ecdat","Computers","Prices of Personal Computers",6259,10
"Ecdat","Cracker","Choice of Brand for Crakers",3292,14
"Ecdat","Crime","Crime in North Carolina",630,24
"Ecdat","DM","DM Dollar Exchange Rate",778,4
"Ecdat","Diamond","Pricing the C's of Diamond Stones",308,5
"Ecdat","Doctor","Number of Doctor Visits",485,4
"Ecdat","DoctorAUS","Doctor Visits in Australia",5190,15
"Ecdat","DoctorContacts","Contacts With Medical Doctor",20186,15
"Ecdat","Earnings","Earnings for Three Age Groups",4266,2
"Ecdat","Electricity","Cost Function for Electricity Producers",158,8
"Ecdat","Fair","Extramarital Affairs Data",601,9
"Ecdat","Fatality","Drunk Driving Laws and Traffic Deaths",336,10
"Ecdat","Fishing","Choice of Fishing Mode",1182,12
"Ecdat","Forward","Exchange Rates of US Dollar Against Other Currencies",276,9
"Ecdat","FriendFoe","Data from the Television Game Show Friend Or Foe ?",227,13
"Ecdat","Garch","Daily Observations on Exchange Rates of the US Dollar Against Other Currencies",1867,8
"Ecdat","Gasoline","Gasoline Consumption",342,6
"Ecdat","Griliches","Wage Datas",758,20
"Ecdat","Grunfeld","Grunfeld Investment Data",200,5
"Ecdat","HC","Heating and Cooling System Choice in Newly Built Houses in California",250,18
"Ecdat","HI","Health Insurance and Hours Worked By Wives",22272,13
"Ecdat","Hdma","The Boston HDMA Data Set",2381,13
"Ecdat","Heating","Heating System Choice in California Houses",900,21
"Ecdat","Hedonic","Hedonic Prices of Cencus Tracts in Boston",506,15
"Ecdat","Housing","Sales Prices of Houses in the City of Windsor",546,12
