"Package","Title"
"COUNT","Functions, data and code for count data."
"Ecdat","Data sets for econometrics"
"HSAUR","A Handbook of Statistical Analyses Using R"
"HistData","Data sets from the history of statistics and data visualization"
"KMsurv","Data sets from Klein and Moeschberger (1997), Survival Analysis"
"MASS","Support Functions and Datasets for Venables and Ripley's MASS"
"SASmixed","Data sets from SAS System for Mixed Models"
"Zelig","Everyone's Statistical Software"
"boot","Bootstrap Functions (originally by Angelo Canty for S)"
"car","Companion to Applied Regression"
"cluster","Cluster Analysis Extended Rousseeuw et al."
"datasets","The R Datasets Package"
"gap","Genetic analysis package"
"ggplot2","An implementation of the Grammar of Graphics"
"lattice","Lattice Graphics"
"lme4","Linear mixed-effects models using Eigen and S4"
"mgcv","Mixed GAM Computation Vehicle with GCV/AIC/REML smoothness estimation"
"mlmRev","Examples from Multilevel Modelling Software Review"
"nlreg","Higher Order Inference for Nonlinear Heteroscedastic Models"
"plm","Linear Models for Panel Data"
"plyr","Tools for splitting, applying and combining data"
"pscl","Political Science Computational Laboratory, Stanford University"
"psych","Procedures for Psychological, Psychometric, and Personality Research"
"quantreg","Quantile Regression"
"reshape2","Flexibly reshape data: a reboot of the reshape package."
"robustbase","Basic Robust Statistics"
"rpart","Recursive Partitioning"
"sandwich","Robust Covariance Matrix Estimators"
"sem","Structural Equation Models"
"survival","Survival Analysis"
"vcd","Visualizing Categorical Data"
